Iteration	CPUTime	PhysTime	Travels	CourFact
1	21	0	0.0116980678	0
2	28	0	0.0233961356	0
3	40	0	0.0350942034	0
4	52	0	0.0467922712	0
5	63	0	0.058490339	0
6	69	0	0.0701884068	0
7	75	0	0.0818864747	0
8	80	0	0.0935845425	0
9	86	0	0.10528261	0
10	92	0	0.116980678	0
11	98	0	0.128678746	0
12	104	0	0.140376814	0
13	110	0	0.152074882	0
14	115	0	0.163772949	0
15	121	0	0.175471017	0
16	127	0	0.187169085	0
17	132	0	0.198867153	0
18	138	0	0.210565221	0
19	144	0	0.222263288	0
20	149	0	0.233961356	0
21	155	0	0.245659424	0
22	160	0	0.257357492	0
23	166	0	0.26905556	0
24	172	0	0.280753627	0
25	177	0	0.292451695	0
26	183	0	0.304149763	0
27	188	0	0.315847831	0
28	194	0	0.327545899	0
29	200	0	0.339243966	0
30	205	0	0.350942034	0
31	211	0	0.362640102	0
32	217	0	0.37433817	0
33	222	0	0.386036238	0
34	228	0	0.397734305	0
35	234	0	0.409432373	0
36	240	0	0.421130441	0
37	245	0	0.432828509	0
38	251	0	0.444526577	0
39	257	0	0.456224645	0
40	262	0	0.467922712	0
41	268	0	0.47962078	0
42	274	0	0.491318848	0
43	279	0	0.503016916	0
44	285	0	0.514714984	0
45	291	0	0.526413051	0
46	297	0	0.538111119	0
47	303	0	0.549809187	0
48	308	0	0.561507255	0
49	314	0	0.573205323	0
50	320	0	0.58490339	0
51	325	0	0.596601458	0
52	331	0	0.608299526	0
53	337	0	0.619997594	0
54	342	0	0.631695662	0
55	348	0	0.643393729	0
56	354	0	0.655091797	0
57	359	0	0.666789865	0
58	365	0	0.678487933	0
59	371	0	0.690186001	0
60	377	0	0.701884068	0
61	382	0	0.713582136	0
62	388	0	0.725280204	0
63	394	0	0.736978272	0
64	399	0	0.74867634	0
65	405	0	0.760374408	0
66	411	0	0.772072475	0
67	417	0	0.783770543	0
68	423	0	0.795468611	0
69	428	0	0.807166679	0
70	434	0	0.818864747	0
71	440	0	0.830562814	0
72	446	0	0.842260882	0
73	451	0	0.85395895	0
74	457	0	0.865657018	0
75	463	0	0.877355086	0
76	468	0	0.889053153	0
77	474	0	0.900751221	0
78	480	0	0.912449289	0
79	485	0	0.924147357	0
80	491	0	0.935845425	0
81	497	0	0.947543492	0
82	502	0	0.95924156	0
83	508	0	0.970939628	0
84	514	0	0.982637696	0
85	520	0	0.994335764	0
86	525	0	1.00603383	0
87	531	0	1.0177319	0
88	537	0	1.02942997	0
89	542	0	1.04112803	0
90	548	0	1.0528261	0
91	554	0	1.06452417	0
92	559	0	1.07622224	0
93	565	0	1.08792031	0
94	570	0	1.09961837	0
95	576	0	1.11131644	0
96	582	0	1.12301451	0
97	587	0	1.13471258	0
98	593	0	1.14641065	0
99	599	0	1.15810871	0
100	604	0	1.16980678	0
101	612	0	1.18150485	0
102	618	0	1.19320292	0
103	623	0	1.20490098	0
104	629	0	1.21659905	0
105	635	0	1.22829712	0
106	641	0	1.23999519	0
107	648	0	1.25169326	0
108	653	0	1.26339132	0
109	659	0	1.27508939	0
110	665	0	1.28678746	0
111	671	0	1.29848553	0
112	677	0	1.31018359	0
113	683	0	1.32188166	0
114	689	0	1.33357973	0
115	695	0	1.3452778	0
116	703	0	1.35697587	0
117	710	0	1.36867393	0
118	716	0	1.380372	0
119	722	0	1.39207007	0
120	729	0	1.40376814	0
121	735	0	1.4154662	0
122	741	0	1.42716427	0
123	747	0	1.43886234	0
124	752	0	1.45056041	0
125	758	0	1.46225848	0
126	763	0	1.47395654	0
127	769	0	1.48565461	0
128	775	0	1.49735268	0
129	780	0	1.50905075	0
130	786	0	1.52074882	0
131	792	0	1.53244688	0
132	797	0	1.54414495	0
133	804	0	1.55584302	0
134	809	0	1.56754109	0
135	815	0	1.57923915	0
136	820	0	1.59093722	0
137	826	0	1.60263529	0
138	832	0	1.61433336	0
139	837	0	1.62603143	0
140	843	0	1.63772949	0
141	849	0	1.64942756	0
142	855	0	1.66112563	0
143	860	0	1.6728237	0
144	866	0	1.68452176	0
145	871	0	1.69621983	0
146	877	0	1.7079179	0
147	883	0	1.71961597	0
148	888	0	1.73131404	0
149	894	0	1.7430121	0
150	900	0	1.75471017	0
151	905	0	1.76640824	0
152	911	0	1.77810631	0
153	917	0	1.78980437	0
154	922	0	1.80150244	0
155	928	0	1.81320051	0
156	934	0	1.82489858	0
157	940	0	1.83659665	0
158	945	0	1.84829471	0
159	951	0	1.85999278	0
160	956	0	1.87169085	0
161	962	0	1.88338892	0
162	968	0	1.89508698	0
163	973	0	1.90678505	0
164	979	0	1.91848312	0
165	985	0	1.93018119	0
166	990	0	1.94187926	0
167	996	0	1.95357732	0
168	1002	0	1.96527539	0
169	1008	0	1.97697346	0
170	1013	0	1.98867153	0
171	1019	0	2.0003696	0
172	1024	0	2.01206766	0
173	1030	0	2.02376573	0
174	1036	0	2.0354638	0
175	1041	0	2.04716187	0
176	1047	0	2.05885993	0
177	1053	0	2.070558	0
178	1058	0	2.08225607	0
179	1064	0	2.09395414	0
180	1070	0	2.10565221	0
181	1075	0	2.11735027	0
182	1081	0	2.12904834	0
183	1087	0	2.14074641	0
184	1092	0	2.15244448	0
185	1098	0	2.16414254	0
186	1103	0	2.17584061	0
187	1109	0	2.18753868	0
188	1115	0	2.19923675	0
189	1121	0	2.21093482	0
190	1126	0	2.22263288	0
191	1132	0	2.23433095	0
192	1138	0	2.24602902	0
193	1144	0	2.25772709	0
194	1149	0	2.26942515	0
195	1155	0	2.28112322	0
196	1160	0	2.29282129	0
197	1166	0	2.30451936	0
198	1172	0	2.31621743	0
199	1178	0	2.32791549	0
200	1183	0	2.33961356	0
201	1190	0	2.35131163	0
202	1196	0	2.3630097	0
203	1201	0	2.37470776	0
204	1207	0	2.38640583	0
205	1213	0	2.3981039	0
206	1218	0	2.40980197	0
207	1224	0	2.42150004	0
208	1230	0	2.4331981	0
209	1235	0	2.44489617	0
210	1241	0	2.45659424	0
211	1247	0	2.46829231	0
212	1252	0	2.47999038	0
213	1258	0	2.49168844	0
214	1263	0	2.50338651	0
215	1269	0	2.51508458	0
216	1275	0	2.52678265	0
217	1280	0	2.53848071	0
218	1286	0	2.55017878	0
219	1292	0	2.56187685	0
220	1297	0	2.57357492	0
