Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	21	0	0.0116980678	-0.0606784727	-0.0606784727	-0.0606784727	-0.0606784727	0	0	0	0	0	0	3
2	28	0	0.0233961356	-0.0407547834	-0.050716628	-0.0606784727	-0.0407547834	0.00996184466	0	0	0	0	0	3
3	40	0	0.0350942034	-0.0164795278	-0.0393042613	-0.0606784727	-0.0164795278	0.0213742114	0	0	0	0	0	3
4	52	0	0.0467922712	-0.0121293347	-0.0325105296	-0.0606784727	-0.0121293347	0.0281679431	0	0	0	0	0	3
5	63	0	0.058490339	-0.00509077988	-0.0270265797	-0.0606784727	-0.00509077988	0.033651893	0	0	0	0	0	3
6	69	0	0.0701884068	-0.0038890783	-0.0231703294	-0.0606784727	-0.0038890783	0.0375081432	0	0	0	0	0	3
7	75	0	0.0818864747	-0.000573810716	-0.0199422553	-0.0606784727	-0.000573810716	0.0407362173	0	0	0	0	0	3
8	80	0	0.0935845425	-0.000689856597	-0.0175357055	-0.0606784727	-0.000573810716	0.0431427672	0	0	0	0	0	3
9	86	0	0.10528261	0.00182886234	-0.0153840868	-0.0606784727	0.00182886234	0.0452943858	0	0	0	0	0	3
10	92	0	0.116980678	-2.15064816e-005	-0.0138478288	-0.0606784727	0.00182886234	0.0468306439	0	0	0	0	0	3
11	98	0	0.128678746	0.000398397754	-0.0125527173	-0.0606784727	0.00182886234	0.0481257554	0	0	0	0	0	3
12	104	0	0.140376814	-0.00132601783	-0.011617159	-0.0606784727	0.00182886234	0.0490613137	0	0	0	0	0	3
13	110	0	0.152074882	-0.000562284791	-0.0107667841	-0.0606784727	0.00182886234	0.0499116886	0	0	0	0	0	3
14	115	0	0.163772949	-0.00341035595	-0.0102413249	-0.0606784727	0.00182886234	0.0504371478	0	0	0	0	0	3
15	121	0	0.175471017	-0.00212482225	-0.00970022474	-0.0606784727	0.00182886234	0.0509782479	0	0	0	0	0	3
16	127	0	0.187169085	-0.00313863148	-0.00929012516	-0.0606784727	0.00182886234	0.0513883475	0	0	0	0	0	3
17	132	0	0.198867153	-0.00365502178	-0.00895864849	-0.0606784727	0.00182886234	0.0517198242	0	0	0	0	0	3
18	138	0	0.210565221	-0.00443251082	-0.0087071964	-0.0606784727	0.00182886234	0.0519712763	0	0	0	0	0	3
19	144	0	0.222263288	-0.00346794863	-0.00843144652	-0.0606784727	0.00182886234	0.0522470262	0	0	0	0	0	3
20	149	0	0.233961356	-0.00369331724	-0.00819454005	-0.0606784727	0.00182886234	0.0524839326	0	0	0	0	0	3
21	155	0	0.245659424	-0.00239141031	-0.00791820054	-0.0606784727	0.00182886234	0.0527602721	0	0	0	0	0	3
22	160	0	0.257357492	-0.00173228653	-0.00763702263	-0.0606784727	0.00182886234	0.05304145	0	0	0	0	0	3
23	166	0	0.26905556	0.000225332142	-0.00729518112	-0.0606784727	0.00182886234	0.0533832916	0	0	0	0	0	3
24	172	0	0.280753627	0.00113482791	-0.00694393074	-0.0606784727	0.00182886234	0.0537345419	0	0	0	0	0	3
25	177	0	0.292451695	0.00358651177	-0.00652271304	-0.0606784727	0.00358651177	0.0541557596	0	0	0	0	0	3
26	183	0	0.304149763	0.00414427067	-0.00611244444	-0.0606784727	0.00414427067	0.0545660282	0	0	0	0	0	3
27	188	0	0.315847831	0.00578707674	-0.00567172143	-0.0606784727	0.00578707674	0.0550067512	0	0	0	0	0	3
28	194	0	0.327545899	0.00611253534	-0.00525085512	-0.0606784727	0.00611253534	0.0554276176	0	0	0	0	0	3
29	200	0	0.339243966	0.00719668393	-0.00482162964	-0.0606784727	0.00719668393	0.055856843	0	0	0	0	0	3
30	205	0	0.350942034	0.00702522059	-0.00442673463	-0.0606784727	0.00719668393	0.056251738	0	0	0	0	0	3
31	211	0	0.362640102	0.00708859219	-0.00405527247	-0.0606784727	0.00719668393	0.0566232002	0	0	0	0	0	3
32	217	0	0.37433817	0.00659374138	-0.00372249079	-0.0606784727	0.00719668393	0.0569559819	0	0	0	0	0	3
33	222	0	0.386036238	0.00626205534	-0.00341992879	-0.0606784727	0.00719668393	0.0572585439	0	0	0	0	0	3
34	228	0	0.397734305	0.00591770037	-0.00314529263	-0.0606784727	0.00719668393	0.05753318	0	0	0	0	0	3
35	234	0	0.409432373	0.0058894269	-0.00288715779	-0.0606784727	0.00719668393	0.0577913149	0	0	0	0	0	3
36	240	0	0.421130441	0.00579551838	-0.00264597234	-0.0606784727	0.00719668393	0.0580325003	0	0	0	0	0	3
37	245	0	0.432828509	0.00569098028	-0.0024206493	-0.0606784727	0.00719668393	0.0582578234	0	0	0	0	0	3
38	251	0	0.444526577	0.00556365456	-0.00221053604	-0.0606784727	0.00719668393	0.0584679366	0	0	0	0	0	3
39	257	0	0.456224645	0.00559584295	-0.00201037247	-0.0606784727	0.00719668393	0.0586681002	0	0	0	0	0	3
40	262	0	0.467922712	0.00531581571	-0.00182721777	-0.0606784727	0.00719668393	0.0588512549	0	0	0	0	0	3
41	268	0	0.47962078	0.00486115217	-0.0016640868	-0.0606784727	0.00719668393	0.0590143859	0	0	0	0	0	3
42	274	0	0.491318848	0.0048137197	-0.00150985331	-0.0606784727	0.00719668393	0.0591686194	0	0	0	0	0	3
43	279	0	0.503016916	0.00437416026	-0.00137301578	-0.0606784727	0.00719668393	0.0593054569	0	0	0	0	0	3
44	285	0	0.514714984	0.00405451121	0.000132402447	-0.0407547834	0.00719668393	0.0479514673	0	0	0	0	0	3
45	291	0	0.526413051	0.00368052422	0.00116578169	-0.0164795278	0.00719668393	0.0236762117	0	0	0	0	0	3
46	297	0	0.538111119	0.00332757197	0.00162641192	-0.0121293347	0.00719668393	0.0193260186	0	0	0	0	0	3
47	303	0	0.549809187	0.00316688995	0.00198213807	-0.00509077988	0.00719668393	0.0122874638	0	0	0	0	0	3
48	308	0	0.561507255	0.0029183901	0.00216839784	-0.00443251082	0.00719668393	0.0116291947	0	0	0	0	0	3
49	314	0	0.573205323	0.0027170584	0.00232202893	-0.00443251082	0.00719668393	0.0116291947	0	0	0	0	0	3
50	320	0	0.58490339	0.00243781993	0.00239206685	-0.00443251082	0.00719668393	0.0116291947	0	0	0	0	0	3
51	325	0	0.596601458	0.00203213161	0.0024553689	-0.00443251082	0.00719668393	0.0116291947	0	0	0	0	0	3
52	331	0	0.608299526	0.00197849525	0.00245884873	-0.00443251082	0.00719668393	0.0116291947	0	0	0	0	0	3
53	337	0	0.619997594	0.00160274188	0.00249662195	-0.00443251082	0.00719668393	0.0116291947	0	0	0	0	0	3
54	342	0	0.631695662	0.00147193333	0.0025215879	-0.00443251082	0.00719668393	0.0116291947	0	0	0	0	0	3
55	348	0	0.643393729	0.00122123715	0.00258082638	-0.00443251082	0.00719668393	0.0116291947	0	0	0	0	0	3
56	354	0	0.655091797	0.00114937346	0.00262063239	-0.00443251082	0.00719668393	0.0116291947	0	0	0	0	0	3
57	359	0	0.666789865	0.000909311204	0.00272108976	-0.00443251082	0.00719668393	0.0116291947	0	0	0	0	0	3
58	365	0	0.678487933	0.000968778595	0.00279303397	-0.00443251082	0.00719668393	0.0116291947	0	0	0	0	0	3
59	371	0	0.690186001	0.0007691604	0.00288391285	-0.00443251082	0.00719668393	0.0116291947	0	0	0	0	0	3
60	377	0	0.701884068	0.000791182705	0.00298731296	-0.00443251082	0.00719668393	0.0116291947	0	0	0	0	0	3
61	382	0	0.713582136	0.000480931853	0.00310157906	-0.00369331724	0.00719668393	0.0108900012	0	0	0	0	0	3
62	388	0	0.725280204	0.000485096449	0.00319351035	-0.00369331724	0.00719668393	0.0108900012	0	0	0	0	0	3
63	394	0	0.736978272	0.000210005465	0.00328428529	-0.00239141031	0.00719668393	0.00958809423	0	0	0	0	0	3
64	399	0	0.74867634	0.000215511086	0.00334491137	-0.00173228653	0.00719668393	0.00892897046	0	0	0	0	0	3
65	405	0	0.760374408	-5.43748156e-005	0.00338393257	-5.43748156e-005	0.00719668393	0.00725105874	0	0	0	0	0	3
66	411	0	0.772072475	-0.000152795049	0.00337513892	-0.000152795049	0.00719668393	0.00734947897	0	0	0	0	0	3
67	417	0	0.783770543	-0.000509568002	0.00333689715	-0.000509568002	0.00719668393	0.00770625193	0	0	0	0	0	3
68	423	0	0.795468611	-0.000504173061	0.00324176495	-0.000509568002	0.00719668393	0.00770625193	0	0	0	0	0	3
69	428	0	0.807166679	-0.000745629898	0.00312804633	-0.000745629898	0.00719668393	0.00794231382	0	0	0	0	0	3
70	434	0	0.818864747	-0.000797507931	0.00297491645	-0.000797507931	0.00719668393	0.00799419186	0	0	0	0	0	3
71	440	0	0.830562814	-0.00101217508	0.00280922551	-0.00101217508	0.00719668393	0.00820556221	0	0	0	0	0	3
72	446	0	0.842260882	-0.00106935202	0.00261699212	-0.00106935202	0.00708859219	0.0078106672	0	0	0	0	0	3
73	451	0	0.85395895	-0.00123693502	0.00242484897	-0.00123693502	0.00708859219	0.00743920505	0	0	0	0	0	3
74	457	0	0.865657018	-0.00127244022	0.00223040635	-0.00127244022	0.00659374138	0.00710642336	0	0	0	0	0	3
75	463	0	0.877355086	-0.00128488218	0.00204718255	-0.00128488218	0.00626205534	0.00680386136	0	0	0	0	0	3
76	468	0	0.889053153	-0.00107864176	0.00187646866	-0.00128488218	0.00591770037	0.00652922521	0	0	0	0	0	3
77	474	0	0.900751221	-0.00101717192	0.00171519256	-0.00128488218	0.0058894269	0.00627109036	0	0	0	0	0	3
78	480	0	0.912449289	-0.000833182924	0.0015588528	-0.00128488218	0.00579551838	0.00602990491	0	0	0	0	0	3
79	485	0	0.924147357	-0.000687970024	0.001408074	-0.00128488218	0.00569098028	0.00580458187	0	0	0	0	0	3
80	491	0	0.935845425	-0.00051789195	0.00126368162	-0.00128488218	0.00559584295	0.00559446861	0	0	0	0	0	3
81	497	0	0.947543492	-0.000478370269	0.00112316942	-0.00128488218	0.00559584295	0.00539430505	0	0	0	0	0	3
82	502	0	0.95924156	-0.000251425341	0.000987186433	-0.00128488218	0.00531581571	0.00521115034	0	0	0	0	0	3
83	508	0	0.970939628	-0.000203332112	0.000858834158	-0.00128488218	0.00486115217	0.00504801937	0	0	0	0	0	3
84	514	0	0.982637696	-0.000125402278	0.000742867775	-0.00128488218	0.0048137197	0.00489378588	0	0	0	0	0	3
85	520	0	0.994335764	-0.000188018612	0.00062654828	-0.00128488218	0.00437416026	0.00475694836	0	0	0	0	0	3
86	525	0	1.00603383	-0.000121105027	0.000522007227	-0.00128488218	0.00405451121	0.00325153013	0.000710286351	21.8	0	0	0	3
87	531	0	1.0177319	-0.000149930621	0.00042422951	-0.00128488218	0.00368052422	0.00295970306	0.000710286351	23.9	0	0	0	3
88	537	0	1.02942997	-7.26328513e-005	0.000336946787	-0.00128488218	0.00332757197	0.00304698579	0.000710286351	23.3	0	0	0	3
89	542	0	1.04112803	-6.59812021e-005	0.000258026946	-0.00128488218	0.00316688995	0.00312590563	0.000710286351	22.7	0	0	0	3
90	548	0	1.0528261	0.000116177742	0.00018708015	-0.00128488218	0.0029183901	0.00319685242	0.000710286351	22.2	0	0	0	3
91	554	0	1.06452417	5.29319446e-005	0.000120441588	-0.00128488218	0.0027170584	0.00326349098	0.000710286351	21.7	0	0	0	3
92	559	0	1.07622224	0.000181521379	6.14756112e-005	-0.00128488218	0.00243781993	0.00332245696	0.000710286351	21.3	0	0	0	3
93	565	0	1.08792031	0.000176789536	8.89350886e-006	-0.00128488218	0.00203213161	0.00331701379	0.000710286351	21.4	0	0	0	3
94	570	0	1.09961837	0.000314334415	-3.10552632e-005	-0.00128488218	0.00197849525	0.00326337743	0.000710286351	21.7	0	0	0	3
95	576	0	1.11131644	0.000322620236	-6.95639845e-005	-0.00128488218	0.00160274188	0.00288762405	0.000710286351	24.5	0	0	0	3
96	582	0	1.12301451	0.000389215709	-9.77855232e-005	-0.00128488218	0.00147193333	0.00275681551	0.000710286351	25.7	0	0	0	3
97	587	0	1.13471258	0.000362436467	-0.000123587776	-0.00128488218	0.00122123715	0.00250611933	0.000710286351	28.3	0	0	0	3
98	593	0	1.14641065	0.000456056993	-0.000141382663	-0.00128488218	0.00114937346	0.00243425564	0.000710286351	29.1	0	0	0	3
99	599	0	1.15810871	0.000422529456	-0.000158286012	-0.00128488218	0.000968778595	0.00225366077	0.000710286351	31.5	0	0	0	3
100	604	0	1.16980678	0.000507584939	-0.000167628483	-0.00128488218	0.000968778595	0.00225366077	0.000710286351	31.5	0	0	0	3
101	612	0	1.18150485	0.000428741223	-0.000180187492	-0.00128488218	0.000791182705	0.00207606488	0.000710286351	34.2	0	0	0	3
102	618	0	1.19320292	0.000538032773	-0.000185562553	-0.00128488218	0.000791182705	0.00207606488	0.000710286351	34.2	0	0	0	3
103	623	0	1.20490098	0.000415457958	-0.000194300338	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
104	629	0	1.21659905	0.000469156185	-0.000194574191	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
105	635	0	1.22829712	0.000353063971	-0.000197644713	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
106	641	0	1.23999519	0.000383156495	-0.000193617945	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
107	648	0	1.25169326	0.000305798239	-0.000191518244	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
108	653	0	1.26339132	0.000350937465	-0.000182092377	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
109	659	0	1.27508939	0.000255004953	-0.000172608656	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
110	665	0	1.28678746	0.000314038779	-0.00015345501	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
111	671	0	1.29848553	0.000213524984	-0.000136764358	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
112	677	0	1.31018359	0.000266480145	-0.000113226915	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
113	683	0	1.32188166	0.0002045108	-8.99241537e-005	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
114	689	0	1.33357973	0.000246448767	-6.06538318e-005	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
115	695	0	1.3452778	0.00015330087	-3.22200437e-005	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
116	703	0	1.35697587	0.000214637669	1.53746065e-006	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
117	710	0	1.36867393	0.000214961333	3.61281943e-005	-0.00128488218	0.000538032773	0.00182291495	0.000710286351	38.9	0	0	0	3
118	716	0	1.380372	0.000273525256	7.23702277e-005	-0.00107864176	0.000538032773	0.00161667453	0.000710286351	43.9	0	0	0	3
119	722	0	1.39207007	0.000204978669	0.000102221866	-0.00101717192	0.000538032773	0.00155520469	0.000710286351	45.6	0	0	0	3
120	729	0	1.40376814	0.000257544906	0.000131866443	-0.000833182924	0.000538032773	0.0013712157	0.000710286351	51.7	0	0	0	3
121	735	0	1.4154662	0.000260092602	0.000157291455	-0.000687970024	0.000538032773	0.0012260028	0.000710286351	57.9	0	0	0	3
122	741	0	1.42716427	0.000313854671	0.000180589704	-0.00051789195	0.000538032773	0.00105592472	0.000710286351	67.2	0	0	0	3
123	747	0	1.43886234	0.000287993973	0.000199331237	-0.000478370269	0.000538032773	0.00101640304	0.000710286351	69.8	0	0	0	3
124	752	0	1.45056041	0.00033857498	0.000218329964	-0.000251425341	0.000538032773	0.000789458114	0.000710286351	89.9	0	0	0	3
125	758	0	1.46225848	0.000358505824	0.000232514409	-0.000203332112	0.000538032773	0.000741364884	0.000710286351	95.8	0	0	0	3
126	763	0	1.47395654	0.000388761541	0.000246284029	-0.000188018612	0.000538032773	0.000726051385	0.000710286351	97.8	0	0	0	3
127	769	0	1.48565461	0.000379168543	0.000258018234	-0.000188018612	0.000538032773	0.000726051385	0.000710286351	97.8	0	0	0	3
128	775	0	1.49735268	0.000407805222	0.000271874603	-0.000149930621	0.000538032773	0.000687963393	0.000710286351	100	0	0	0	3
129	780	0	1.50905075	0.000408639816	0.00028419425	-0.000149930621	0.000538032773	0.000621874223	0.000710286351	100	0	0	0	3
130	786	0	1.52074882	0.000483417842	0.000298923284	-7.26328513e-005	0.000538032773	0.0005345915	0.000710286351	100	0	0	0	3
131	792	0	1.53244688	0.000438590242	0.000310812193	-6.59812021e-005	0.000538032773	0.000508456907	0.000710286351	100	0	0	0	3
132	797	0	1.54414495	0.000488066751	0.000323697029	5.29319446e-005	0.000538032773	0.000485100828	0.000710286351	100	0	0	0	3
133	804	0	1.55584302	0.000513732937	0.000332942499	5.29319446e-005	0.000538032773	0.000485100828	0.000710286351	100	0	0	0	3
134	809	0	1.56754109	0.00059138841	0.000345464742	0.00015330087	0.00059138841	0.00043808754	0.000710286351	100	0	0	0	3
135	815	0	1.57923915	0.000566458962	0.000354416779	0.00015330087	0.00059138841	0.00043808754	0.000710286351	100	0	0	0	3
136	820	0	1.59093722	0.00061114905	0.000364518163	0.00015330087	0.00061114905	0.000457848179	0.000710286351	100	0	0	0	3
137	826	0	1.60263529	0.00068816665	0.000373211936	0.00015330087	0.00068816665	0.000534865779	0.000710286351	100	0	0	0	3
138	832	0	1.61433336	0.00075273517	0.000383214609	0.00015330087	0.00075273517	0.000580859322	0.000710286351	100	0	0	0	3
139	837	0	1.62603143	0.000804140079	0.000392864013	0.00015330087	0.000804140079	0.000590508726	0.000710286351	100	0	0	0	3
140	843	0	1.63772949	0.000881342531	0.000404931596	0.00015330087	0.000881342531	0.000602576309	0.000710286351	100	0	0	0	3
141	849	0	1.64942756	0.000934835423	0.000416065978	0.00015330087	0.000934835423	0.000613710691	0.000710286351	100	0	0	0	3
142	855	0	1.66112563	0.000973228905	0.000428872942	0.00015330087	0.000973228905	0.000626517655	0.000710286351	100	0	0	0	3
143	860	0	1.6728237	0.00100934423	0.000440541763	0.00015330087	0.00100934423	0.000638186476	0.000710286351	100	0	0	0	3
144	866	0	1.68452176	0.00103941588	0.000454743499	0.00015330087	0.00103941588	0.000652388212	0.000710286351	100	0	0	0	3
145	871	0	1.69621983	0.00103872776	0.000466387568	0.00015330087	0.00103941588	0.000664032282	0.000710286351	100	0	0	0	3
146	877	0	1.7079179	0.00107239686	0.000481665217	0.00015330087	0.00107239686	0.000679309931	0.000710286351	100	0	0	0	3
147	883	0	1.71961597	0.00108378126	0.000495958824	0.00015330087	0.00108378126	0.000693603537	0.000710286351	100	0	0	0	3
148	888	0	1.73131404	0.00110024074	0.000513335028	0.00015330087	0.00110024074	0.000706952973	0.000710286351	100	0	0	0	3
149	894	0	1.7430121	0.00107203031	0.000529355349	0.00015330087	0.00110024074	0.000720873593	0.000710286351	98.5	0	0	0	3
150	900	0	1.75471017	0.00112035021	0.000548298418	0.00015330087	0.00112035021	0.000730390795	0.000710286351	97.2	0	0	0	3
151	905	0	1.76640824	0.00111713713	0.000566117015	0.00015330087	0.00112035021	0.000738725671	0.000710286351	96.1	0	0	0	3
152	911	0	1.77810631	0.00114521582	0.000586819593	0.00015330087	0.00114521582	0.000740274603	0.000710286351	95.9	0	0	0	3
153	917	0	1.78980437	0.00116320346	0.000606567609	0.00015330087	0.00116320346	0.000743331967	0.000710286351	95.5	0	0	0	3
154	922	0	1.80150244	0.00118173078	0.000629084023	0.00015330087	0.00118173078	0.000742310938	0.000710286351	95.6	0	0	0	3
155	928	0	1.81320051	0.00121113982	0.000651052853	0.00015330087	0.00121113982	0.000740977006	0.000710286351	95.8	0	0	0	3
156	934	0	1.82489858	0.00122290944	0.000674736542	0.00015330087	0.00122290944	0.000735390374	0.000710286351	96.5	0	0	0	3
157	940	0	1.83659665	0.00119584812	0.000696815597	0.00015330087	0.00122290944	0.00072903564	0.000710286351	97.4	0	0	0	3
158	945	0	1.84829471	0.00124369126	0.000722173513	0.000204978669	0.00124369126	0.000720636052	0.000710286351	98.5	0	0	0	3
159	951	0	1.85999278	0.00123170248	0.000745826183	0.000204978669	0.00124369126	0.000709697988	0.000710286351	100	0	0	0	3
160	956	0	1.87169085	0.0012538309	0.00076998594	0.000204978669	0.0012538309	0.000697615713	0.000710286351	100	0	0	0	3
161	962	0	1.88338892	0.00123476421	0.000792340335	0.000204978669	0.0012538309	0.000690118469	0.000710286351	100	0	0	0	3
162	968	0	1.89508698	0.00120074894	0.000815497783	0.000257544906	0.0012538309	0.00068363134	0.000710286351	100	0	0	0	3
163	973	0	1.90678505	0.00121849907	0.000837845554	0.000260092602	0.0012538309	0.000680554099	0.000710286351	100	0	0	0	3
164	979	0	1.91848312	0.00124978511	0.000860861659	0.000287993973	0.0012538309	0.000680271955	0.000710286351	100	0	0	0	3
165	985	0	1.93018119	0.00133590302	0.000884630225	0.000287993973	0.00133590302	0.000685298988	0.000710286351	100	0	0	0	3
166	990	0	1.94187926	0.00128041356	0.00090770975	0.00033857498	0.00133590302	0.000689379787	0.000710286351	100	0	0	0	3
167	996	0	1.95357732	0.0013092088	0.00093028263	0.000358505824	0.00133590302	0.000697768221	0.000710286351	100	0	0	0	3
168	1002	0	1.96527539	0.00129991651	0.000952175902	0.000379168543	0.00133590302	0.000705891872	0.000710286351	100	0	0	0	3
169	1008	0	1.97697346	0.00132269663	0.000973895322	0.000379168543	0.00133590302	0.000715877088	0.000710286351	99.2	0	0	0	3
170	1013	0	1.98867153	0.00130028862	0.000995316719	0.000407805222	0.00133590302	0.000723442117	0.000710286351	98.1	0	0	0	3
171	1019	0	2.0003696	0.00121556769	0.00101410189	0.000408639816	0.00133590302	0.000729907643	0.000710286351	97.3	0	0	0	3
172	1024	0	2.01206766	0.00124415963	0.00103353259	0.000438590242	0.00133590302	0.000734609302	0.000710286351	96.6	0	0	0	3
173	1030	0	2.02376573	0.00127193249	0.00105187014	0.000438590242	0.00133590302	0.000741057943	0.000710286351	95.8	0	0	0	3
174	1036	0	2.0354638	0.00130831002	0.00107209618	0.000488066751	0.00133590302	0.000748399148	0.000710286351	94.9	0	0	0	3
175	1041	0	2.04716187	0.00134929996	0.00109212486	0.000513732937	0.00134929996	0.000759182358	0.000710286351	93.5	0	0	0	3
176	1047	0	2.05885993	0.00134108091	0.00111136551	0.000566458962	0.00134929996	0.000765900765	0.000710286351	92.7	0	0	0	3
177	1053	0	2.070558	0.00132183442	0.00112835262	0.000566458962	0.00134929996	0.000773935845	0.000710286351	91.7	0	0	0	3
178	1058	0	2.08225607	0.00131836223	0.00114583875	0.00061114905	0.00134929996	0.000738150914	0.000710286351	96.2	0	0	0	3
179	1064	0	2.09395414	0.0013735533	0.00116356908	0.00068816665	0.0013735533	0.000685386645	0.000710286351	100	0	0	0	3
180	1070	0	2.10565221	0.00134766228	0.00117890619	0.00075273517	0.0013735533	0.000620818126	0.000710286351	100	0	0	0	3
181	1075	0	2.11735027	0.00128436211	0.0011912696	0.000804140079	0.0013735533	0.000569413216	0.000710286351	100	0	0	0	3
182	1081	0	2.12904834	0.00133491548	0.00120361322	0.000881342531	0.0013735533	0.000492210764	0.000710286351	100	0	0	0	3
183	1087	0	2.14074641	0.00128953806	0.00121310614	0.000934835423	0.0013735533	0.000438717872	0.000710286351	100	0	0	0	3
184	1092	0	2.15244448	0.00136275222	0.00122305769	0.000973228905	0.0013735533	0.000400324391	0.000710286351	100	0	0	0	3
185	1098	0	2.16414254	0.00133290096	0.00123142216	0.00100934423	0.0013735533	0.000364209064	0.000710286351	100	0	0	0	3
186	1103	0	2.17584061	0.00140100896	0.00124053064	0.00103872776	0.00140100896	0.000362281195	0.000710286351	100	0	0	0	3
187	1109	0	2.18753868	0.00145624093	0.00125022424	0.00103872776	0.00145624093	0.000417513171	0.000710286351	100	0	0	0	3
188	1115	0	2.19923675	0.0014992775	0.0012609347	0.00107203031	0.0014992775	0.000427247187	0.000710286351	100	0	0	0	3
189	1121	0	2.21093482	0.00143088689	0.00126927168	0.00107203031	0.0014992775	0.000427247187	0.000710286351	100	0	0	0	3
190	1126	0	2.22263288	0.00148571994	0.00127861909	0.00107203031	0.0014992775	0.000427247187	0.000710286351	100	0	0	0	3
191	1132	0	2.23433095	0.00140205645	0.00128563806	0.00107203031	0.0014992775	0.000427247187	0.000710286351	100	0	0	0	3
192	1138	0	2.24602902	0.00145981776	0.00129465637	0.00111713713	0.0014992775	0.000382140367	0.000710286351	100	0	0	0	3
193	1144	0	2.25772709	0.00133935108	0.00129974942	0.00111713713	0.0014992775	0.000382140367	0.000710286351	100	0	0	0	3
194	1149	0	2.26942515	0.00139754935	0.00130627063	0.00114521582	0.0014992775	0.000354061678	0.000710286351	100	0	0	0	3
