Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	21	0	0.0116980678	293.200001	293.200001	293.200001	293.200001	0	0	0	0.00166666	0	0	3
2	28	0	0.0233961356	293.200001	293.200001	293.200001	293.200001	1.06737843e-007	0	0	0.00160376	0	0	3
3	40	0	0.0350942034	293.200002	293.200001	293.200001	293.200002	1.78422454e-007	0	0	0.00153551	0	0	3
4	52	0	0.0467922712	293.200002	293.200001	293.200001	293.200002	2.39392989e-007	0	0	0.00145765	0	0	3
5	63	0	0.058490339	293.200002	293.200002	293.200001	293.200002	2.96245219e-007	0	0	0.00141347	0	0	3
6	69	0	0.0701884068	293.200002	293.200002	293.200001	293.200002	3.63244055e-007	0	0	0.00134764	0	0	3
7	75	0	0.0818864747	293.200002	293.200002	293.200001	293.200002	4.39817768e-007	0	0	0.00129795	0	0	3
8	80	0	0.0935845425	293.200002	293.200002	293.200001	293.200002	5.23507026e-007	0	0	0.00129698	0	0	3
9	86	0	0.10528261	293.200003	293.200002	293.200001	293.200003	6.12044062e-007	0	0	0.00128085	0	0	3
10	92	0	0.116980678	293.200003	293.200002	293.200001	293.200003	7.03855164e-007	0	0	0.00125665	0	0	3
11	98	0	0.128678746	293.200003	293.200002	293.200001	293.200003	8.09124799e-007	0	0	0.00121139	0	0	3
12	104	0	0.140376814	293.200003	293.200002	293.200001	293.200003	9.24260348e-007	0	0	0.00117726	0	0	3
13	110	0	0.152074882	293.200004	293.200002	293.200001	293.200004	1.04687234e-006	0	0	0.00118806	0	0	3
14	115	0	0.163772949	293.200004	293.200002	293.200001	293.200004	1.17520887e-006	0	0	0.00119558	0	0	3
15	121	0	0.175471017	293.200004	293.200003	293.200001	293.200004	1.30806262e-006	0	0	0.00119571	0	0	3
16	127	0	0.187169085	293.200005	293.200003	293.200001	293.200005	1.45478947e-006	0	0	0.00118431	0	0	3
17	132	0	0.198867153	293.200005	293.200003	293.200001	293.200005	1.61286175e-006	0	0	0.00116306	0	0	3
18	138	0	0.210565221	293.200006	293.200003	293.200001	293.200006	1.78036862e-006	0	0	0.00114077	0	0	3
19	144	0	0.222263288	293.200006	293.200003	293.200001	293.200006	1.95598699e-006	0	0	0.00120118	0	0	3
20	149	0	0.233961356	293.200007	293.200003	293.200001	293.200007	2.13836631e-006	0	0	0.00157036	0	0	3
21	155	0	0.245659424	293.200008	293.200004	293.200001	293.200008	2.33780349e-006	0	0	0.00171046	0	0	3
22	160	0	0.257357492	293.200008	293.200004	293.200001	293.200008	2.55177122e-006	0	0	0.00229626	0	0	3
23	166	0	0.26905556	293.200009	293.200004	293.200001	293.200009	2.77749854e-006	0	0	0.00241939	0	0	3
24	172	0	0.280753627	293.20001	293.200004	293.200001	293.20001	3.01330743e-006	0	0	0.00296181	0	0	3
25	177	0	0.292451695	293.20001	293.200005	293.200001	293.20001	3.25733333e-006	0	0	0.00307521	0	0	3
26	183	0	0.304149763	293.200011	293.200005	293.200001	293.200011	3.52143689e-006	0	0	0.0037676	0	0	3
27	188	0	0.315847831	293.200012	293.200005	293.200001	293.200012	3.80214749e-006	0	0	0.00396526	0	0	3
28	194	0	0.327545899	293.200013	293.200005	293.200001	293.200013	4.09724487e-006	0	0	0.00452525	0	0	3
29	200	0	0.339243966	293.200014	293.200006	293.200001	293.200014	4.40429028e-006	0	0	0.00460237	0	0	3
30	205	0	0.350942034	293.200015	293.200006	293.200001	293.200015	4.72165152e-006	0	0	0.00504574	0	0	3
31	211	0	0.362640102	293.200017	293.200006	293.200001	293.200017	5.061732e-006	0	0	0.00524163	0	0	3
32	217	0	0.37433817	293.200018	293.200007	293.200001	293.200018	5.42100702e-006	0	0	0.00573101	0	0	3
33	222	0	0.386036238	293.200019	293.200007	293.200001	293.200019	5.79571298e-006	0	0	0.00572506	0	0	3
34	228	0	0.397734305	293.20002	293.200007	293.200001	293.20002	6.18294126e-006	0	0	0.00619815	0	0	3
35	234	0	0.409432373	293.200021	293.200008	293.200001	293.200021	6.57943065e-006	0	0	0.00612648	0	0	3
36	240	0	0.421130441	293.200023	293.200008	293.200001	293.200023	6.9964002e-006	0	0	0.0066787	0	0	3
37	245	0	0.432828509	293.200024	293.200009	293.200001	293.200024	7.42813705e-006	0	0	0.00659813	0	0	3
38	251	0	0.444526577	293.200025	293.200009	293.200001	293.200025	7.87055461e-006	0	0	0.00700048	0	0	3
39	257	0	0.456224645	293.200027	293.20001	293.200001	293.200027	8.3195975e-006	0	0	0.00689925	0	0	3
40	262	0	0.467922712	293.200028	293.20001	293.200001	293.200028	8.77225852e-006	0	0	0.00718672	0	0	3
41	268	0	0.47962078	293.200029	293.20001	293.200001	293.200029	9.23458953e-006	0	0	0.00780881	0	0	3
42	274	0	0.491318848	293.20003	293.200011	293.200001	293.20003	9.70140144e-006	0	0	0.00745191	0	0	3
43	279	0	0.503016916	293.200031	293.200011	293.200001	293.200031	1.01688917e-005	0	0	0.00733942	0	0	3
44	285	0	0.514714984	293.200032	293.200012	293.200001	293.200032	1.07746363e-005	0	0	0.00723435	0	0	3
45	291	0	0.526413051	293.200033	293.200013	293.200002	293.200033	1.14269494e-005	0	0	0.00681594	0	0	3
46	297	0	0.538111119	293.200033	293.200014	293.200002	293.200033	1.21016661e-005	0	0	0.00627473	0	0	3
47	303	0	0.549809187	293.200034	293.200014	293.200002	293.200034	1.27901226e-005	0	0	0.00639294	0	0	3
48	308	0	0.561507255	293.200034	293.200015	293.200002	293.200034	1.34759753e-005	0	0	0.00612563	0	0	3
49	314	0	0.573205323	293.200034	293.200016	293.200002	293.200034	1.4156143e-005	0	0	0.00652381	0	0	3
50	320	0	0.58490339	293.200035	293.200017	293.200002	293.200035	1.48308968e-005	0	0	0.00645259	0	0	3
51	325	0	0.596601458	293.200035	293.200017	293.200003	293.200035	1.55007065e-005	0	0	0.00628691	0	0	3
52	331	0	0.608299526	293.200035	293.200018	293.200003	293.200035	1.61660194e-005	0	0	0.00668915	0	0	3
53	337	0	0.619997594	293.200035	293.200019	293.200003	293.200035	1.68155749e-005	0	0	0.00695253	0	0	3
54	342	0	0.631695662	293.200035	293.20002	293.200003	293.200035	1.74493057e-005	0	0	0.00711453	0	0	3
55	348	0	0.643393729	293.200035	293.20002	293.200004	293.200035	1.80689824e-005	0	0	0.00728292	0	0	3
56	354	0	0.655091797	293.200035	293.200021	293.200004	293.200035	1.86758073e-005	0	0	0.00734206	0	0	3
57	359	0	0.666789865	293.200035	293.200022	293.200004	293.200035	1.92705745e-005	0	0	0.00740747	0	0	3
58	365	0	0.678487933	293.200035	293.200023	293.200005	293.200035	1.98436652e-005	0	0	0.00737923	0	0	3
59	371	0	0.690186001	293.200035	293.200023	293.200005	293.200035	2.03934462e-005	0	0	0.00737287	0	0	3
60	377	0	0.701884068	293.200035	293.200024	293.200006	293.200035	2.09217793e-005	0	0	0.00728019	0	0	3
61	382	0	0.713582136	293.200035	293.200025	293.200006	293.200035	2.14297798e-005	0	0	0.00723887	0	0	3
62	388	0	0.725280204	293.200035	293.200025	293.200007	293.200035	2.19186165e-005	0	0	0.007105	0	0	3
63	394	0	0.736978272	293.200035	293.200026	293.200008	293.200035	2.23778464e-005	0	0	0.00703976	0	0	3
64	399	0	0.74867634	293.200035	293.200027	293.200008	293.200035	2.2804413e-005	0	0	0.00688266	0	0	3
65	405	0	0.760374408	293.200035	293.200027	293.200009	293.200035	2.320114e-005	0	0	0.00680753	0	0	3
66	411	0	0.772072475	293.200035	293.200028	293.20001	293.200035	2.35699263e-005	0	0	0.00665247	0	0	3
67	417	0	0.783770543	293.200035	293.200028	293.20001	293.200035	2.39126877e-005	0	0	0.00656646	0	0	3
