Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	21	0	0.0116980678	101325.027	101325.027	101325.027	101325.027	0	0	0	676.404	0	0	3
2	28	0	0.0233961356	101325.013	101325.02	101325.013	101325.027	0.00684960077	0	0	656.459	0	0	3
3	40	0	0.0350942034	101325.007	101325.016	101325.007	101325.027	0.0110400568	0	0	439.489	0	0	3
4	52	0	0.0467922712	101325.005	101325.013	101325.005	101325.027	0.0138650314	0	0	217.258	0	0	3
5	63	0	0.058490339	101325.001	101325.011	101325.001	101325.027	0.0162514926	0	0	108.716	0	0	3
6	69	0	0.0701884068	101325.002	101325.009	101325.001	101325.027	0.017699691	0	0	100.415	0	0	3
7	75	0	0.0818864747	101325.001	101325.008	101325.001	101325.027	0.0188324128	0	0	88.0874	0	0	3
8	80	0	0.0935845425	101325.002	101325.007	101325.001	101325.027	0.0195825738	0	0	85.0882	0	0	3
9	86	0	0.10528261	101325.001	101325.007	101325.001	101325.027	0.0202260908	0	0	81.0231	0	0	3
10	92	0	0.116980678	101325.002	101325.006	101325.001	101325.027	0.0206821869	0	0	78.8896	0	0	3
11	98	0	0.128678746	101325.002	101325.006	101325.001	101325.027	0.0210983809	0	0	73.531	0	0	3
12	104	0	0.140376814	101325.002	101325.005	101325.001	101325.027	0.0214250682	0	0	63.7432	0	0	3
13	110	0	0.152074882	101325.002	101325.005	101325.001	101325.027	0.021724973	0	0	54.3048	0	0	3
14	115	0	0.163772949	101325.002	101325.005	101325.001	101325.027	0.0219807064	0	0	46.5862	0	0	3
15	121	0	0.175471017	101325.001	101325.005	101325.001	101325.027	0.022214419	0	0	46.6382	0	0	3
16	127	0	0.187169085	101325.001	101325.004	101325.001	101325.027	0.0224201327	0	0	46.4081	0	0	3
17	132	0	0.198867153	101325.001	101325.004	101325.001	101325.027	0.0226087586	0	0	45.9456	0	0	3
18	138	0	0.210565221	101325.001	101325.004	101325.001	101325.027	0.0227824768	0	0	45.4191	0	0	3
19	144	0	0.222263288	101325.001	101325.004	101325.001	101325.027	0.0229434971	0	0	44.876	0	0	3
20	149	0	0.233961356	101325.001	101325.004	101325.001	101325.027	0.023093093	0	0	44.3682	0	0	3
21	155	0	0.245659424	101325.001	101325.004	101325.001	101325.027	0.0232321283	0	0	44.0128	0	0	3
22	160	0	0.257357492	101325.001	101325.003	101325.001	101325.027	0.0233637989	0	0	43.6058	0	0	3
23	166	0	0.26905556	101325.001	101325.003	101325.001	101325.027	0.0234877311	0	0	43.0955	0	0	3
24	172	0	0.280753627	101325.001	101325.003	101325.001	101325.027	0.0236058407	0	0	42.4021	0	0	3
25	177	0	0.292451695	101325	101325.003	101325	101325.027	0.0237173704	0	0	42.2126	0	0	3
26	183	0	0.304149763	101325	101325.003	101325	101325.027	0.0238225091	0	0	41.7927	0	0	3
27	188	0	0.315847831	101325	101325.003	101325	101325.027	0.0239232864	0	0	41.2605	0	0	3
28	194	0	0.327545899	101325	101325.003	101325	101325.027	0.024019675	0	0	40.5675	0	0	3
29	200	0	0.339243966	101325	101325.003	101325	101325.027	0.0241117294	0	0	39.8695	0	0	3
30	205	0	0.350942034	101325	101325.003	101325	101325.027	0.0241996767	0	0	39.0396	0	0	3
31	211	0	0.362640102	101325	101325.003	101325	101325.027	0.02428388	0	0	38.4572	0	0	3
32	217	0	0.37433817	101325	101325.002	101325	101325.027	0.0243651835	0	0	37.713	0	0	3
