Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	24	0	0.011190137	101319.5	101319.5	101319.5	101319.5	0	0	0	14188.2	0	0	3
2	32	0	0.0223802741	101325.22	101322.36	101319.5	101325.22	2.8597764	0	0	20576.9	0	0	3
3	39	0	0.0335704111	101325.082	101323.267	101319.5	101325.22	3.76705233	0	0	21359.1	0	0	3
4	46	0	0.0447605481	101325.709	101323.878	101319.5	101325.709	4.37756317	0	0	19861.6	0	0	3
5	54	0	0.0559506852	101325.069	101324.116	101319.5	101325.709	4.61587945	0	0	14227.7	0	0	3
6	62	0	0.0671408222	101325.365	101324.324	101319.5	101325.709	4.82407158	0	0	10722.9	0	0	3
7	70	0	0.0783309593	101325.086	101324.433	101319.5	101325.709	4.93290017	0	0	10444.6	0	0	3
8	77	0	0.0895210963	101325.204	101324.529	101319.5	101325.709	5.02925864	0	0	9887.04	0	0	3
9	84	0	0.100711233	101325.009	101324.583	101319.5	101325.709	5.08253305	0	0	9583.19	0	0	3
10	91	0	0.11190137	101325.057	101324.63	101319.5	101325.709	5.12995376	0	0	8584.84	0	0	3
11	97	0	0.123091507	101324.94	101324.658	101319.5	101325.709	5.15814739	0	0	7781.62	0	0	3
12	105	0	0.134281644	101324.934	101324.681	101319.5	101325.709	5.18113585	0	0	6890.81	0	0	3
13	111	0	0.145471781	101324.862	101324.695	101319.5	101325.709	5.19506279	0	0	6030.37	0	0	3
14	118	0	0.156661919	101324.835	101324.705	101319.5	101325.709	5.20507713	0	0	5403.31	0	0	3
15	125	0	0.167852056	101324.779	101324.71	101319.5	101325.709	5.20998202	0	0	5055.56	0	0	3
16	132	0	0.179042193	101324.758	101324.713	101319.5	101325.709	5.21297714	0	0	4889.93	0	0	3
17	139	0	0.19023233	101324.711	101324.713	101319.5	101325.709	5.21297714	0	0	4576.86	0	0	3
18	146	0	0.201422467	101324.68	101324.711	101319.5	101325.709	5.21297714	0	0	4407.22	0	0	3
19	153	0	0.212612604	101324.638	101324.707	101319.5	101325.709	5.21297714	0	0	4055.79	0	0	3
20	159	0	0.223802741	101324.618	101324.703	101319.5	101325.709	5.21297714	0	0	3879.72	0	0	3
21	166	0	0.234992878	101324.599	101324.698	101319.5	101325.709	5.21297714	0	0	3787.55	0	0	3
22	173	0	0.246183015	101324.582	101324.693	101319.5	101325.709	5.21297714	0	0	3940.36	0	0	3
23	180	0	0.257373152	101324.564	101324.687	101319.5	101325.709	5.21297714	0	0	3880.39	0	0	3
24	187	0	0.268563289	101324.555	101324.682	101319.5	101325.709	5.21297714	0	0	3638.93	0	0	3
25	194	0	0.279753426	101324.549	101324.676	101319.5	101325.709	5.21297714	0	0	3452.79	0	0	3
26	201	0	0.290943563	101324.554	101324.672	101319.5	101325.709	5.21297714	0	0	3188.55	0	0	3
27	207	0	0.3021337	101324.552	101324.667	101319.5	101325.709	5.21297714	0	0	3036.16	0	0	3
28	214	0	0.313323837	101324.549	101324.663	101319.5	101325.709	5.21297714	0	0	2821.52	0	0	3
29	221	0	0.324513974	101324.55	101324.659	101319.5	101325.709	5.21297714	0	0	2705.91	0	0	3
30	228	0	0.335704111	101324.554	101324.655	101319.5	101325.709	5.21297714	0	0	2475.99	0	0	3
31	235	0	0.346894248	101324.558	101324.652	101319.5	101325.709	5.21297714	0	0	2441.77	0	0	3
32	241	0	0.358084385	101324.562	101324.65	101319.5	101325.709	5.21297714	0	0	2335.13	0	0	3
33	248	0	0.369274522	101324.561	101324.647	101319.5	101325.709	5.21297714	0	0	2332.88	0	0	3
34	255	0	0.380464659	101324.561	101324.644	101319.5	101325.709	5.21297714	0	0	2348.27	0	0	3
35	262	0	0.391654796	101324.563	101324.642	101319.5	101325.709	5.21297714	0	0	2110	0	0	3
