Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	24	0	0.011190137	2786.58034	2786.58034	2786.58034	2786.58034	0	0	0	0	0	0	3
2	32	0	0.0223802741	358.065981	1572.32316	358.065981	2786.58034	1214.25718	0	0	0	0	0	3
3	39	0	0.0335704111	180.123071	1108.25646	180.123071	2786.58034	1678.32388	0	0	0	0	0	3
4	46	0	0.0447605481	66.3564956	847.781473	66.3564956	2786.58034	1938.79887	0	0	0	0	0	3
5	54	0	0.0559506852	123.194967	702.864171	66.3564956	2786.58034	2083.71617	0	0	0	0	0	3
6	62	0	0.0671408222	82.9558553	599.546119	66.3564956	2786.58034	2187.03422	0	0	0	0	0	3
7	70	0	0.0783309593	105.0182	528.899273	66.3564956	2786.58034	2257.68107	0	0	0	0	0	3
8	77	0	0.0895210963	88.816071	473.888873	66.3564956	2786.58034	2312.69147	0	0	0	0	0	3
9	84	0	0.100711233	98.5104227	432.180156	66.3564956	2786.58034	2354.40019	0	0	0	0	0	3
10	91	0	0.11190137	91.3202199	398.094163	66.3564956	2786.58034	2388.48618	0	0	0	0	0	3
11	97	0	0.123091507	96.3513893	370.663001	66.3564956	2786.58034	2415.91734	0	0	0	0	0	3
12	105	0	0.134281644	94.0236182	347.609719	66.3564956	2786.58034	2438.97062	0	0	0	0	0	3
13	111	0	0.145471781	94.932684	328.173024	66.3564956	2786.58034	2458.40732	0	0	0	0	0	3
14	118	0	0.156661919	94.3726168	311.472995	66.3564956	2786.58034	2475.10735	0	0	0	0	0	3
15	125	0	0.167852056	93.9972529	296.974612	66.3564956	2786.58034	2489.60573	0	0	0	0	0	3
16	132	0	0.179042193	92.0406344	284.166239	66.3564956	2786.58034	2502.4141	0	0	0	0	0	3
17	139	0	0.19023233	89.4964901	272.715077	66.3564956	2786.58034	2513.86527	0	0	0	0	0	3
18	146	0	0.201422467	86.7137776	262.381672	66.3564956	2786.58034	2524.19867	0	0	0	0	0	3
19	153	0	0.212612604	83.8611889	252.985857	66.3564956	2786.58034	2533.59449	0	0	0	0	0	3
20	159	0	0.223802741	80.9214906	244.382638	66.3564956	2786.58034	2542.1977	0	0	0	0	0	3
21	166	0	0.234992878	77.5909076	236.440175	66.3564956	2786.58034	2550.14017	0	0	0	0	0	3
22	173	0	0.246183015	74.0078625	229.056888	66.3564956	2786.58034	2557.52345	0	0	0	0	0	3
23	180	0	0.257373152	70.9370491	222.182113	66.3564956	2786.58034	2564.39823	0	0	0	0	0	3
24	187	0	0.268563289	68.3269838	215.771482	66.3564956	2786.58034	2570.80886	0	0	0	0	0	3
25	194	0	0.279753426	66.0460927	209.782467	66.0460927	2786.58034	2576.79788	0	0	0	0	0	3
26	201	0	0.290943563	63.6418775	204.161675	63.6418775	2786.58034	2582.41867	0	0	0	0	0	3
27	207	0	0.3021337	61.0400296	198.860873	61.0400296	2786.58034	2587.71947	0	0	0	0	0	3
28	214	0	0.313323837	58.76313	193.857382	58.76313	2786.58034	2592.72296	0	0	0	0	0	3
29	221	0	0.324513974	56.8185782	189.131906	56.8185782	2786.58034	2597.44844	0	0	0	0	0	3
30	228	0	0.335704111	55.0951625	184.664015	55.0951625	2786.58034	2601.91633	0	0	0	0	0	3
31	235	0	0.346894248	53.3060568	180.426661	53.3060568	2786.58034	2606.15368	0	0	0	0	0	3
32	241	0	0.358084385	51.1062049	176.385397	51.1062049	2786.58034	2610.19495	0	0	0	0	0	3
33	248	0	0.369274522	49.1082586	172.528514	49.1082586	2786.58034	2614.05183	0	0	0	0	0	3
34	255	0	0.380464659	47.3703193	168.847391	47.3703193	2786.58034	2617.73295	0	0	0	0	0	3
35	262	0	0.391654796	45.8579142	165.333406	45.8579142	2786.58034	2621.24694	0	0	0	0	0	3
36	269	0	0.402844933	44.4860952	161.976536	44.4860952	2786.58034	2624.60381	0	0	0	0	0	3
37	276	0	0.41403507	42.9687335	158.760109	42.9687335	2786.58034	2627.82023	0	0	0	0	0	3
38	283	0	0.425225207	41.6725039	155.678856	41.6725039	2786.58034	2630.90149	0	0	0	0	0	3
39	290	0	0.436415344	40.6506721	152.729415	40.6506721	2786.58034	2633.85093	0	0	0	0	0	3
40	297	0	0.447605481	39.8302605	149.906937	39.8302605	2786.58034	2636.67341	0	0	0	0	0	3
41	304	0	0.458795619	38.9720898	147.201209	38.9720898	2786.58034	2639.37913	0	0	0	0	0	3
42	311	0	0.469985756	37.903616	144.598885	37.903616	2786.58034	2641.98146	0	0	0	0	0	3
43	318	0	0.481175893	36.818606	142.092367	36.818606	2786.58034	2644.48798	0	0	0	0	0	3
44	325	0	0.49236603	35.8738288	139.678309	35.8738288	2786.58034	2646.90203	0	0	0	0	0	3
45	332	0	0.503556167	35.1483482	137.355421	35.1483482	2786.58034	2649.22492	0	0	0	0	0	3
46	339	0	0.514746304	34.5598523	76.1994102	34.5598523	358.065981	323.506128	0	0	0	0	0	3
47	346	0	0.525936441	34.0285216	68.9985778	34.0285216	180.123071	146.094549	0	0	0	0	0	3
48	353	0	0.537126578	33.6135768	65.7428113	33.6135768	123.194967	89.5813904	0	0	0	0	0	3
49	360	0	0.548316715	33.4667702	65.0119285	33.4667702	123.194967	89.7281969	0	0	0	0	0	3
50	367	0	0.559506852	33.6509648	63.0220617	33.4667702	105.0182	71.5514297	0	0	0	0	0	3
51	375	0	0.570696989	33.9686378	61.9334569	33.4667702	105.0182	71.5514297	0	0	0	0	0	3
52	382	0	0.581887126	34.3266185	60.3625329	33.4667702	98.5104227	65.0436525	0	0	0	0	0	3
53	389	0	0.593077263	34.6532068	59.1589137	33.4667702	98.5104227	65.0436525	0	0	0	0	0	3
54	396	0	0.6042674	34.8747468	57.7447875	33.4667702	96.3513893	62.8846191	0	0	0	0	0	3
55	403	0	0.615457537	35.0041342	56.493319	33.4667702	96.3513893	62.8846191	0	0	0	0	0	3
56	410	0	0.626647674	35.0837345	55.1318155	33.4667702	94.932684	61.4659138	0	0	0	0	0	3
57	417	0	0.637837811	34.9353144	53.8187421	33.4667702	94.932684	61.4659138	0	0	0	0	0	3
58	424	0	0.649027948	34.614936	52.4783477	33.4667702	94.3726168	60.9058465	0	0	0	0	0	3
59	431	0	0.660218085	34.231669	51.1418822	33.4667702	93.9972529	60.5304827	0	0	0	0	0	3
60	438	0	0.671408222	33.9395447	49.8072665	33.4667702	92.0406344	58.5738641	0	0	0	0	0	3
61	445	0	0.682598359	33.8063278	48.5131708	33.4667702	89.4964901	56.0297198	0	0	0	0	0	3
62	452	0	0.693788496	33.7598874	47.2745796	33.4667702	86.7137776	53.2470074	0	0	0	0	0	3
