Time(s)	Vehicle Speed(Km/hour)	Motor Current(Amps)	Motor RPM(RPM)	Battery Voltage(Volts)	Battery Current(Amps)	
0.218	1.93	0.03	20	78.19	0	
0.33	2.01	0.03	21	78.19	0	
0.443	2.11	0	22	78.19	0	
0.556	2.24	0	23	78.16	0	
0.669	2.36	0.03	24	78.19	0	
0.781	2.39	0.03	25	78.19	0	
0.893	2.43	0.03	25	78.19	0	
1.006	2.53	0.03	26	78.19	0	
1.119	2.64	0	27	78.19	0	
1.232	2.68	0	28	78.19	0	
1.344	2.78	0.03	29	78.19	0	
1.457	2.91	0.03	30	78.19	0	
1.574	3.03	0	31	78.19	0	
1.687	3.08	0.03	32	78.19	0	
1.799	3.16	0	33	78.19	0	
1.912	3.27	0.03	34	78.19	0	
2.025	3.29	0.03	34	78.19	0	
2.139	3.39	5.22	35	78.03	0.34	
2.252	3.52	4.78	36	78.06	0.28	
2.365	3.7	7.44	38	77.97	0.59	
2.478	3.79	8.91	39	77.91	0.72	
2.591	3.91	9.66	40	77.84	0.81	
2.704	4.1	10	42	77.84	0.88	
2.817	4.25	11.38	44	77.78	1.06	
2.93	4.33	12.53	45	77.72	1.22	
3.043	4.5	11.88	47	77.72	1.22	
3.156	4.87	12.53	50	77.66	1.38	
3.269	5.15	11.72	53	77.69	1.31	
3.404	6.09	15.72	63	77.34	2.16	
3.517	6.23	15.56	65	77.34	2.19	
3.631	6.36	15	66	77.38	2.13	
3.744	6.55	15.13	68	77.34	2.22	
3.857	6.63	15.41	69	77.34	2.28	
3.97	6.71	15.31	70	77.28	2.28	
4.083	6.84	15.38	71	77.28	2.31	
4.195	6.94	15.06	72	77.31	2.25	
4.309	7.05	15.53	73	77.22	2.41	
4.422	7.07	15.41	73	77.25	2.34	
4.536	7.32	16.88	76	77.13	2.75	
4.649	7.41	17.72	77	77.06	2.91	
4.762	7.55	17.75	78	77	3	
4.876	7.64	17.81	79	77.03	3.03	
4.99	7.76	17.75	81	77	3.06	
5.103	7.91	17.69	82	76.97	3.09	
5.216	8.05	17.41	84	77	3.06	
5.33	8.22	17.34	85	76.97	3.09	
5.442	8.32	17.34	86	76.94	3.09	
