Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
48	352	0	0.551755144	0.0752348545	-0.00420123467	-0.207091618	0.126353409	0.333445027	0	0	0	0	0	3
49	357	0	0.563250043	0.0628614226	0.00193406172	-0.197001742	0.126353409	0.323355151	0	0	0	0	0	3
50	363	0	0.574744941	0.0560896883	0.00301808493	-0.197001742	0.126353409	0.323355151	0	0	0	0	0	3
51	369	0	0.58623984	0.0449418985	0.00692415425	-0.197001742	0.126353409	0.323355151	0	0	0	0	0	3
52	375	0	0.597734739	0.0389511236	0.00729685697	-0.197001742	0.126353409	0.323355151	0	0	0	0	0	3
53	380	0	0.609229638	0.0314806047	0.0100310619	-0.197001742	0.126353409	0.323355151	0	0	0	0	0	3
54	386	0	0.620724537	0.0232726947	0.0105097992	-0.197001742	0.126353409	0.319579714	0	0	0	0	0	3
55	392	0	0.632219436	0.00927364653	0.0127071097	-0.197001742	0.126353409	0.304084303	0	0	0	0	0	3
56	398	0	0.643714334	-7.15812345e-006	0.0149059756	-0.197001742	0.126353409	0.294373676	0	0	0	0	0	3
57	403	0	0.655209233	-0.00905826305	0.0178036012	-0.197001742	0.126353409	0.286529989	0	0	0	0	0	3
58	409	0	0.666704132	-0.0194983693	0.0202943045	-0.197001742	0.126353409	0.281293597	0	0	0	0	0	3
59	415	0	0.678199031	-0.018062355	0.0233569773	-0.197001742	0.126353409	0.278818898	0	0	0	0	0	3
60	421	0	0.68969393	-0.0192341146	0.0268380508	-0.197001742	0.126353409	0.278710811	0	0	0	0	0	3
61	427	0	0.701188829	-0.0227136993	0.0307410621	-0.197001742	0.126353409	0.279565433	0	0	0	0	0	3
62	432	0	0.712683727	-0.022676834	0.0347029919	-0.195293158	0.126353409	0.28070993	0	0	0	0	0	3
63	438	0	0.724178626	-0.0235618225	0.0386059768	-0.188999963	0.126353409	0.281762566	0	0	0	0	0	3
64	444	0	0.735673525	-0.0243536536	0.0423479383	-0.181270095	0.126353409	0.282557552	0	0	0	0	0	3
65	450	0	0.747168424	-0.0245500302	0.045909758	-0.15354799	0.126353409	0.279901399	0	0	0	0	0	3
