Tijd,Spanning,Stroom
17:51:22,False,False
17:51:23,False,False
17:51:24,False,False
17:51:25,False,False
17:51:26,False,False
17:51:27,False,False
17:51:28,False,False
17:51:29,False,False
17:51:30,False,False
17:51:31,False,False
17:51:32,False,False
17:51:33,False,False
17:51:34,False,False
17:51:35,False,False
17:51:36,False,False
17:51:37,False,False
17:51:38,False,False
17:51:39,False,False
17:51:40,False,False
17:51:41,False,False
17:51:42,False,False
17:51:43,False,False
17:51:44,False,False
17:51:45,False,False
17:51:46,False,False
17:51:47,False,False
17:51:48,False,False
17:51:49,False,False
17:51:50,False,False
17:51:51,False,False
17:51:52,False,False
17:51:53,False,False
17:51:54,False,False
17:51:55,False,False
17:51:56,False,False
17:51:57,False,False
17:51:58,False,False
17:51:59,False,False
17:52:00,False,False
17:52:01,False,False
17:52:02,False,False
17:52:03,False,False
17:52:04,False,False
17:52:05,False,False
17:52:06,False,False
17:52:07,False,False
17:52:08,False,False
17:52:09,False,False
17:52:10,False,False
17:52:11,False,False
17:52:12,False,False
17:52:13,False,False
17:52:14,False,False
17:52:15,False,False
17:52:16,False,False
17:52:17,False,False
17:52:18,False,False
17:52:19,False,False
17:52:20,False,False
17:52:21,False,False
17:52:22,False,False
17:52:23,False,False
17:52:24,False,False
17:52:25,False,False
17:52:26,False,False
17:52:27,False,False
17:52:28,False,False
17:52:29,False,False
17:52:30,False,False
17:52:31,False,False
17:52:32,False,False
17:52:33,False,False
17:52:34,False,False
17:52:35,False,False
17:52:36,False,False
17:52:37,False,False
17:52:38,False,False
17:52:39,False,False
17:52:40,False,False
17:52:41,False,False
17:52:42,False,False
17:52:43,False,False
17:52:44,False,False
17:52:45,False,False
17:52:46,False,False
17:52:47,False,False
17:52:48,False,False
17:52:49,False,False
17:52:50,False,False
17:52:51,False,False
17:52:52,False,False
17:52:53,False,False
17:52:54,False,False
17:52:55,False,False
17:52:56,False,False
17:52:57,False,False
17:52:58,False,False
17:52:59,False,False
17:53:00,False,False
17:53:01,False,False
17:53:02,False,False
17:53:03,False,False
17:53:04,False,False
17:53:05,False,False
17:53:06,False,False
17:53:07,False,False
17:53:08,False,False
17:53:09,False,False
17:53:10,False,False
17:53:11,False,False
17:53:12,False,False
17:53:13,False,False
17:53:14,False,False
17:53:15,False,False
17:53:16,False,False
17:53:17,False,False
17:53:18,False,False
17:53:19,False,False
17:53:20,False,False
17:53:21,False,False
17:53:22,False,False
17:53:23,False,False
17:53:24,False,False
17:53:25,False,False
17:53:26,False,False
17:53:27,False,False
17:53:28,False,False
17:53:29,False,False
17:53:30,False,False
17:53:31,False,False
17:53:32,False,False
17:53:33,False,False
17:53:34,False,False
17:53:35,False,False
17:53:36,False,False
17:53:37,False,False
17:53:38,False,False
17:53:39,False,False
17:53:40,False,False
17:53:41,False,False
17:53:42,False,False
17:53:43,False,False
17:53:44,False,False
17:53:45,False,False
17:53:46,False,False
17:53:47,False,False
17:53:48,False,False
17:53:49,False,False
17:53:50,False,False
17:53:51,False,False
17:53:52,False,False
17:53:53,False,False
17:53:54,False,False
17:53:55,False,False
17:53:56,False,False
17:53:57,False,False
17:53:58,False,False
17:53:59,False,False
17:54:00,False,False
17:54:01,False,False
17:54:02,False,False
17:54:03,False,False
17:54:04,False,False
17:54:05,False,False
17:54:06,False,False
17:54:07,False,False
17:54:08,False,False
17:54:09,False,False
17:54:10,False,False
17:54:11,False,False
17:54:12,False,False
17:54:13,False,False
17:54:14,False,False
17:54:15,False,False
17:54:16,False,False
17:54:17,False,False
17:54:18,False,False
17:54:19,False,False
17:54:20,False,False
17:54:21,False,False
17:54:22,False,False
17:54:23,False,False
17:54:24,False,False
17:54:25,False,False
17:54:26,False,False
17:54:27,False,False
17:54:28,False,False
17:54:29,False,False
17:54:30,False,False
17:54:31,False,False
17:54:32,False,False
17:54:33,False,False
17:54:34,False,False
17:54:35,False,False
17:54:36,False,False
17:54:37,False,False
17:54:38,False,False
17:54:39,False,False
17:54:40,False,False
17:54:41,False,False
17:54:42,False,False
17:54:43,False,False
17:54:44,False,False
17:54:45,False,False
17:54:46,False,False
17:54:47,False,False
17:54:48,False,False
17:54:49,False,False
17:54:50,False,False
17:54:51,False,False
17:54:52,False,False
17:54:53,False,False
17:54:54,False,False
17:54:55,False,False
17:54:56,False,False
17:54:57,False,False
17:54:58,False,False
17:54:59,False,False
17:55:00,False,False
17:55:01,False,False
17:55:02,False,False
17:55:03,False,False
17:55:04,False,False
17:55:05,False,False
17:55:06,False,False
17:55:07,False,False
17:55:08,False,False
17:55:09,False,False
17:55:10,False,False
17:55:11,False,False
17:55:12,False,False
17:55:13,False,False
17:55:14,False,False
17:55:15,False,False
17:55:16,False,False
17:55:17,False,False
17:55:18,False,False
17:55:19,False,False
17:55:20,False,False
17:55:21,False,False
17:55:22,False,False
17:55:23,False,False
17:55:24,False,False
17:55:25,False,False
17:55:26,False,False
17:55:27,False,False
17:55:28,False,False
17:55:29,False,False
17:55:30,False,False
17:55:31,False,False
17:55:32,False,False
17:55:33,False,False
17:55:34,False,False
17:55:35,False,False
17:55:36,False,False
17:55:37,False,False
17:55:38,False,False
17:55:39,False,False
17:55:40,False,False
17:55:41,False,False
17:55:42,False,False
17:55:43,False,False
17:55:44,False,False
17:55:45,False,False
17:55:46,False,False
17:55:47,False,False
17:55:48,False,False
17:55:49,False,False
17:55:50,False,False
17:55:51,False,False
17:55:52,False,False
17:55:53,False,False
17:55:54,False,False
17:55:55,False,False
17:55:56,False,False
17:55:57,False,False
17:55:58,False,False
17:55:59,False,False
17:56:00,False,False
17:56:01,False,False
17:56:02,False,False
17:56:03,False,False
17:56:04,False,False
17:56:05,False,False
17:56:06,False,False
17:56:07,False,False
17:56:08,False,False
17:56:09,False,False
17:56:10,False,False
17:56:11,False,False
17:56:12,False,False
17:56:13,False,False
17:56:14,False,False
17:56:15,False,False
17:56:16,False,False
17:56:17,False,False
17:56:18,False,False
17:56:19,False,False
17:56:20,False,False
17:56:21,False,False
17:56:22,False,False
17:56:23,False,False
17:56:24,False,False
17:56:25,False,False
17:56:26,False,False
17:56:27,False,False
17:56:28,False,False
17:56:29,False,False
17:56:30,False,False
17:56:31,False,False
17:56:32,False,False
17:56:33,False,False
17:56:34,False,False
17:56:35,False,False
17:56:36,False,False
17:56:37,False,False
17:56:38,False,False
17:56:39,False,False
17:56:40,False,False
17:56:41,False,False
17:56:42,False,False
17:56:43,False,False
17:56:44,False,False
17:56:45,False,False
17:56:46,False,False
17:56:47,False,False
17:56:48,False,False
17:56:49,False,False
17:56:50,False,False
17:56:51,False,False
17:56:52,False,False
17:56:53,False,False
17:56:54,False,False
17:56:55,False,False
17:56:56,False,False
17:56:57,False,False
17:56:58,False,False
17:56:59,False,False
17:57:00,False,False
17:57:01,False,False
17:57:02,False,False
17:57:03,False,False
17:57:04,False,False
17:57:05,False,False
17:57:06,False,False
17:57:07,False,False
17:57:08,False,False
17:57:09,False,False
17:57:10,False,False
17:57:11,False,False
17:57:12,False,False
17:57:13,False,False
17:57:14,False,False
17:57:15,False,False
17:57:16,False,False
17:57:17,False,False
17:57:18,False,False
17:57:19,False,False
17:57:20,False,False
17:57:21,False,False
17:57:22,False,False
17:57:23,False,False
17:57:24,False,False
17:57:25,False,False
17:57:26,False,False
17:57:27,False,False
17:57:28,False,False
17:57:29,False,False
17:57:30,False,False
17:57:31,False,False
17:57:32,False,False
17:57:33,False,False
17:57:34,False,False
17:57:35,False,False
17:57:36,False,False
17:57:37,False,False
17:57:38,False,False
17:57:39,False,False
17:57:40,False,False
17:57:41,False,False
17:57:42,False,False
17:57:43,False,False
17:57:44,False,False
17:57:45,False,False
17:57:46,False,False
17:57:47,False,False
17:57:48,False,False
17:57:49,False,False
17:57:50,False,False
17:57:51,False,False
17:57:52,False,False
17:57:53,False,False
17:57:54,False,False
17:57:55,False,False
17:57:56,False,False
17:57:57,False,False
17:57:58,False,False
17:57:59,False,False
17:58:00,False,False
17:58:01,False,False
17:58:02,False,False
17:58:03,False,False
17:58:04,False,False
17:58:05,False,False
17:58:06,False,False
17:58:07,False,False
17:58:08,False,False
17:58:09,False,False
17:58:10,False,False
17:58:11,False,False
17:58:12,False,False
17:58:13,False,False
17:58:14,False,False
17:58:15,False,False
17:58:16,False,False
17:58:17,False,False
17:58:18,False,False
17:58:19,False,False
17:58:20,False,False
17:58:21,False,False
17:58:22,False,False
17:58:23,False,False
17:58:24,False,False
17:58:25,False,False
17:58:26,False,False
17:58:27,False,False
17:58:28,False,False
17:58:29,False,False
17:58:30,False,False
17:58:31,False,False
17:58:32,False,False
17:58:33,False,False
17:58:34,False,False
17:58:35,False,False
17:58:36,False,False
17:58:37,False,False
17:58:38,False,False
17:58:39,False,False
17:58:40,False,False
17:58:41,False,False
17:58:42,False,False
17:58:43,False,False
17:58:44,False,False
17:58:45,False,False
17:58:46,False,False
17:58:47,False,False
17:58:48,False,False
17:58:49,False,False
17:58:50,False,False
17:58:51,False,False
17:58:52,False,False
17:58:53,False,False
17:58:54,False,False
17:58:55,False,False
17:58:56,False,False
17:58:57,False,False
17:58:58,False,False
17:58:59,False,False
17:59:00,False,False
17:59:01,False,False
17:59:02,False,False
17:59:03,False,False
17:59:04,False,False
17:59:05,False,False
17:59:06,False,False
17:59:07,False,False
17:59:08,False,False
17:59:09,False,False
17:59:10,False,False
17:59:11,False,False
17:59:12,False,False
17:59:13,False,False
17:59:14,False,False
17:59:15,False,False
17:59:16,False,False
17:59:17,False,False
17:59:18,False,False
17:59:19,False,False
17:59:20,False,False
17:59:21,False,False
17:59:22,False,False
17:59:23,False,False
17:59:24,False,False
17:59:25,False,False
17:59:26,False,False
17:59:27,False,False
17:59:28,False,False
17:59:29,False,False
17:59:30,False,False
17:59:31,False,False
17:59:32,False,False
17:59:33,False,False
17:59:34,False,False
17:59:35,False,False
17:59:36,False,False
17:59:37,False,False
17:59:38,False,False
17:59:39,False,False
17:59:40,False,False
17:59:41,False,False
17:59:42,False,False
17:59:43,False,False
17:59:44,False,False
17:59:45,False,False
17:59:46,False,False
17:59:47,False,False
17:59:48,False,False
17:59:49,False,False
17:59:50,False,False
17:59:51,False,False
17:59:52,False,False
17:59:53,False,False
17:59:54,False,False
17:59:55,False,False
17:59:56,False,False
17:59:57,False,False
17:59:58,False,False
17:59:59,False,False
18:00:00,False,False
18:00:01,False,False
18:00:02,False,False
18:00:03,False,False
18:00:04,False,False
18:00:05,False,False
18:00:06,False,False
18:00:07,False,False
18:00:08,False,False
18:00:09,False,False
18:00:10,False,False
18:00:11,False,False
18:00:12,False,False
18:00:13,False,False
18:00:14,False,False
18:00:15,False,False
18:00:16,False,False
18:00:17,False,False
18:00:18,False,False
18:00:19,False,False
18:00:20,False,False
18:00:21,False,False
18:00:22,False,False
18:00:23,False,False
18:00:24,False,False
18:00:25,False,False
18:00:26,False,False
18:00:27,False,False
18:00:28,False,False
18:00:29,False,False
18:00:30,False,False
18:00:31,False,False
18:00:32,False,False
18:00:33,False,False
18:00:34,False,False
18:00:35,False,False
18:00:36,False,False
18:00:37,False,False
18:00:38,False,False
18:00:39,False,False
18:00:40,False,False
18:00:41,False,False
18:00:42,False,False
18:00:43,False,False
18:00:44,False,False
18:00:45,False,False
18:00:46,False,False
18:00:47,False,False
18:00:48,False,False
18:00:49,False,False
18:00:50,False,False
18:00:51,False,False
18:00:52,False,False
18:00:53,False,False
18:00:54,False,False
18:00:55,False,False
18:00:56,False,False
18:00:57,False,False
18:00:58,False,False
18:00:59,False,False
18:01:00,False,False
18:01:01,False,False
18:01:02,False,False
18:01:03,False,False
18:01:04,False,False
18:01:05,False,False
18:01:06,False,False
18:01:07,False,False
18:01:08,False,False
18:01:09,False,False
18:01:10,False,False
18:01:11,False,False
18:01:12,False,False
18:01:13,False,False
18:01:14,False,False
18:01:15,False,False
18:01:16,False,False
18:01:17,False,False
18:01:18,False,False
18:01:19,False,False
18:01:20,False,False
18:01:21,False,False
18:01:22,False,False
18:01:23,False,False
18:01:24,False,False
18:01:25,False,False
18:01:26,False,False
18:01:27,False,False
18:01:28,False,False
18:01:29,False,False
18:01:30,False,False
18:01:31,False,False
18:01:32,False,False
18:01:33,False,False
18:01:34,False,False
18:01:35,False,False
18:01:36,False,False
18:01:37,False,False
18:01:38,False,False
18:01:39,False,False
18:01:40,False,False
18:01:41,False,False
18:01:42,False,False
18:01:43,False,False
18:01:44,False,False
18:01:45,False,False
18:01:46,False,False
18:01:47,False,False
18:01:48,False,False
18:01:49,False,False
18:01:50,False,False
18:01:51,False,False
18:01:52,False,False
18:01:53,False,False
18:01:54,False,False
18:01:55,False,False
18:01:56,False,False
18:01:57,False,False
18:01:58,False,False
18:01:59,False,False
18:02:00,False,False
18:02:01,False,False
18:02:02,False,False
18:02:03,False,False
18:02:04,False,False
18:02:05,False,False
18:02:06,False,False
18:02:07,False,False
18:02:08,False,False
18:02:09,False,False
18:02:10,False,False
18:02:11,False,False
18:02:12,False,False
18:02:13,False,False
18:02:14,False,False
18:02:15,False,False
18:02:16,False,False
18:02:17,False,False
18:02:18,False,False
18:02:19,False,False
18:02:20,False,False
18:02:21,False,False
18:02:22,False,False
18:02:23,False,False
18:02:24,False,False
18:02:25,False,False
18:02:26,False,False
18:02:27,False,False
18:02:28,False,False
18:02:29,False,False
18:02:30,False,False
18:02:31,False,False
18:02:32,False,False
18:02:33,False,False
18:02:34,False,False
18:02:35,False,False
18:02:36,False,False
18:02:37,False,False
18:02:38,False,False
18:02:39,False,False
18:02:40,False,False
18:02:41,False,False
18:02:42,False,False
18:02:43,False,False
18:02:44,False,False
18:02:45,False,False
18:02:46,False,False
18:02:47,False,False
18:02:48,False,False
18:02:49,False,False
18:02:50,False,False
18:02:51,False,False
18:02:52,False,False
18:02:53,False,False
18:02:54,False,False
18:02:55,False,False
18:02:56,False,False
18:02:57,False,False
18:02:58,False,False
18:02:59,False,False
18:03:00,False,False
18:03:01,False,False
18:03:02,False,False
18:03:03,False,False
18:03:04,False,False
18:03:05,False,False
18:03:06,False,False
18:03:07,False,False
18:03:08,False,False
18:03:09,False,False
18:03:10,False,False
18:03:11,False,False
18:03:12,False,False
18:03:13,False,False
18:03:14,False,False
18:03:15,False,False
18:03:16,False,False
18:03:17,False,False
18:03:18,False,False
18:03:19,False,False
18:03:20,False,False
18:03:21,False,False
18:03:22,False,False
18:03:23,False,False
18:03:24,False,False
18:03:25,False,False
18:03:26,False,False
18:03:27,False,False
18:03:28,False,False
18:03:29,False,False
18:03:30,False,False
18:03:31,False,False
18:03:32,False,False
18:03:33,False,False
18:03:34,False,False
18:03:35,False,False
18:03:36,False,False
18:03:37,False,False
18:03:38,False,False
18:03:39,False,False
18:03:40,False,False
18:03:41,False,False
18:03:43,False,False
18:03:44,False,False
18:03:45,False,False
18:03:46,False,False
18:03:47,False,False
18:03:48,False,False
18:03:49,False,False
18:03:50,False,False
18:03:51,False,False
18:03:52,False,False
18:03:53,False,False
18:03:54,False,False
18:03:55,False,False
18:03:56,False,False
18:03:57,False,False
18:03:58,False,False
18:03:59,False,False
18:04:00,False,False
18:04:01,False,False
18:04:02,False,False
18:04:03,False,False
18:04:04,False,False
18:04:05,False,False
18:04:06,False,False
18:04:07,False,False
18:04:08,False,False
18:04:09,False,False
18:04:10,False,False
18:04:11,False,False
18:04:12,False,False
18:04:13,False,False
18:04:14,False,False
18:04:15,False,False
18:04:16,False,False
18:04:17,False,False
18:04:18,False,False
18:04:19,False,False
18:04:20,False,False
18:04:21,False,False
18:04:22,False,False
18:04:23,False,False
18:04:24,False,False
18:04:25,False,False
18:04:26,False,False
18:04:27,False,False
18:04:28,False,False
18:04:29,False,False
18:04:30,False,False
18:04:31,False,False
18:04:32,False,False
18:04:33,False,False
18:04:34,False,False
18:04:35,False,False
18:04:36,False,False
18:04:37,False,False
18:04:38,False,False
18:04:39,False,False
18:04:40,False,False
18:04:41,False,False
18:04:42,False,False
18:04:43,False,False
18:04:44,False,False
18:04:45,False,False
18:04:46,False,False
18:04:47,False,False
18:04:48,False,False
18:04:49,False,False
18:04:50,False,False
18:04:51,False,False
18:04:52,False,False
18:04:53,False,False
18:04:54,False,False
18:04:55,False,False
18:04:56,False,False
18:04:57,False,False
18:04:58,False,False
18:04:59,False,False
18:05:00,False,False
18:05:01,False,False
18:05:02,False,False
18:05:03,False,False
18:05:04,False,False
18:05:05,False,False
18:05:06,False,False
18:05:07,False,False
18:05:08,False,False
18:05:09,False,False
18:05:10,False,False
18:05:11,False,False
18:05:12,False,False
18:05:13,False,False
18:05:14,False,False
18:05:15,False,False
18:05:16,False,False
18:05:17,False,False
18:05:18,False,False
18:05:19,False,False
18:05:20,False,False
18:05:21,False,False
18:05:22,False,False
18:05:23,False,False
18:05:24,False,False
18:05:25,False,False
18:05:26,False,False
18:05:27,False,False
18:05:28,False,False
18:05:29,False,False
18:05:30,False,False
18:05:31,False,False
18:05:32,False,False
18:05:33,False,False
18:05:34,False,False
18:05:35,False,False
18:05:36,False,False
18:05:37,False,False
18:05:38,False,False
18:05:39,False,False
18:05:40,False,False
18:05:41,False,False
18:05:42,False,False
18:05:43,False,False
18:05:44,False,False
18:05:45,False,False
18:05:46,False,False
18:05:47,False,False
18:05:48,False,False
18:05:49,False,False
18:05:50,False,False
18:05:51,False,False
18:05:52,False,False
18:05:53,False,False
18:05:54,False,False
18:05:55,False,False
18:05:56,False,False
18:05:57,False,False
18:05:58,False,False
18:05:59,False,False
18:06:00,False,False
18:06:01,False,False
18:06:02,False,False
