Tijd,Spanning,Stroom
18:41:25,False,False
18:41:26,False,False
18:41:27,False,False
18:41:28,False,False
18:41:29,False,False
18:41:30,False,False
18:41:31,False,False
18:41:32,False,False
18:41:33,False,False
18:41:34,False,False
18:41:35,False,False
18:41:36,False,False
18:41:37,False,False
18:41:38,False,False
18:41:39,False,False
18:41:40,False,False
18:41:41,False,False
18:41:42,False,False
18:41:43,False,False
18:41:44,False,False
18:41:45,False,False
18:41:46,False,False
18:41:47,False,False
18:41:48,False,False
18:41:49,False,False
18:41:50,False,False
18:41:51,False,False
18:41:52,False,False
18:41:53,False,False
18:41:54,False,False
18:41:55,False,False
18:41:56,False,False
18:41:57,False,False
18:41:58,False,False
18:41:59,False,False
18:42:00,False,False
18:42:01,False,False
18:42:02,False,False
18:42:03,False,False
18:42:04,False,False
18:42:05,False,False
18:42:06,False,False
18:42:07,False,False
18:42:08,False,False
18:42:09,False,False
18:42:10,False,False
18:42:11,False,False
18:42:12,False,False
18:42:13,False,False
18:42:14,False,False
18:42:15,False,False
18:42:16,False,False
18:42:17,False,False
18:42:18,False,False
18:42:19,False,False
18:42:20,False,False
18:42:21,False,False
18:42:22,False,False
18:42:23,False,False
18:42:24,False,False
18:42:25,False,False
18:42:26,False,False
18:42:27,False,False
18:42:28,False,False
18:42:29,False,False
18:42:30,False,False
18:42:31,False,False
18:42:32,False,False
18:42:33,False,False
18:42:34,False,False
18:42:35,False,False
18:42:36,False,False
18:42:37,False,False
18:42:38,False,False
18:42:39,False,False
18:42:40,False,False
18:42:41,False,False
18:42:42,False,False
18:42:43,False,False
18:42:44,False,False
18:42:45,False,False
18:42:46,False,False
18:42:47,False,False
18:42:48,False,False
18:42:49,False,False
18:42:50,False,False
18:42:51,False,False
18:42:52,False,False
18:42:53,False,False
18:42:54,False,False
18:42:55,False,False
18:42:56,False,False
18:42:57,False,False
18:42:58,False,False
18:42:59,False,False
18:43:00,False,False
18:43:01,False,False
18:43:02,False,False
18:43:03,False,False
18:43:04,False,False
