Tijd,Spanning,Stroom
16:11:16,3.577659,-2.858676
16:11:17,3.57738,-2.857965
16:11:18,3.577159,-2.856976
16:11:19,3.577103,-2.858033
16:11:20,3.576451,-2.858848
16:11:21,3.576293,-2.858676
16:11:22,3.576061,-2.857248
16:11:23,3.575802,-2.858797
16:11:24,3.575423,-2.86048
16:11:25,3.57528,-2.857673
16:11:26,3.574813,-2.859276
16:11:27,3.574438,-2.862507
16:11:28,3.574304,-2.860545
16:11:29,3.574087,-2.859152
16:11:30,3.573926,-2.860754
16:11:31,3.573595,-2.85991
16:11:32,3.573205,-2.860548
16:11:33,3.572901,-2.861483
16:11:34,3.572568,-2.861952
16:11:35,3.572473,-2.860633
16:11:36,3.572181,-2.85932
16:11:37,3.571996,-2.859869
16:11:38,3.571758,-2.860813
16:11:39,3.571508,-2.860793
16:11:40,3.571145,-2.86043
16:11:41,3.570907,-2.86058
16:11:42,3.570496,-2.860016
16:11:43,3.570683,-2.859878
16:11:44,3.570284,-2.857387
16:11:45,3.570019,-2.857481
16:11:46,3.569769,-2.859128
16:11:47,3.569549,-2.859621
16:11:48,3.56932,-2.857584
16:11:49,3.568968,-2.858809
16:11:50,3.56887,-2.856914
16:11:51,3.568644,-2.857927
16:11:52,3.568394,-2.858328
16:11:53,3.568078,-2.860202
16:11:54,3.567771,-2.859485
16:11:55,3.567539,-2.857269
16:11:56,3.567298,-2.859485
16:11:57,3.566961,-2.857924
16:11:58,3.566613,-2.858485
16:11:59,3.566682,-2.858325
16:12:00,3.566327,-2.857555
16:12:01,3.566015,-2.857968
16:12:02,3.565773,-2.857392
16:12:03,3.565488,-2.857918
16:12:04,3.565193,-2.859022
16:12:05,3.565026,-2.858245
16:12:06,3.564827,-2.858455
16:12:07,3.564523,-2.860267
16:12:08,3.564216,-2.857378
16:12:09,3.56402,-2.857667
16:12:10,3.563707,-2.858845
16:12:11,3.563397,-2.859765
16:12:12,3.563132,-2.857528
16:12:13,3.562683,-2.860309
16:12:14,3.562582,-2.859677
16:12:15,3.562457,-2.858541
16:12:16,3.561855,-2.859689
16:12:17,3.561763,-2.858673
