Tijd,Spanning,Stroom
15:54:35,4.162581,6.6e-05
15:54:36,4.162564,5.7e-05
15:54:37,4.162549,6.3e-05
15:54:38,4.162525,9e-05
15:54:39,4.162504,6.9e-05
15:54:40,4.162492,9.3e-05
15:54:41,4.162477,3.1e-05
15:54:42,4.162465,2.8e-05
15:54:43,4.162445,6e-05
15:54:44,4.16243,8.7e-05
15:54:45,4.162415,4.8e-05
15:54:46,4.1624,4e-05
15:54:47,4.162385,5.7e-05
15:54:48,4.16237,4.8e-05
15:54:49,4.162349,3.7e-05
15:54:50,4.162334,7.8e-05
15:54:51,4.162322,5.1e-05
15:54:52,4.162305,3.4e-05
15:54:53,4.162287,2.5e-05
15:54:54,4.162272,3.1e-05
15:54:55,4.162257,2.5e-05
15:54:56,4.162239,7.5e-05
15:54:57,4.162227,4.8e-05
15:54:58,4.162215,4.5e-05
15:54:59,4.162197,5.4e-05
15:55:00,4.162188,4.8e-05
15:55:01,4.162168,2.2e-05
15:55:02,4.162153,5.1e-05
15:55:03,4.162135,4e-05
15:55:04,4.162123,6.6e-05
15:55:05,4.162108,3.1e-05
15:55:06,4.063688,-2.80151
15:55:07,3.85318,-2.808638
15:55:08,3.847047,-2.806539
15:55:09,3.842726,-2.809579
15:55:10,3.839141,-2.809815
15:55:11,3.836256,-2.810423
15:55:12,3.833413,-2.81264
15:55:13,3.830941,-2.813941
15:55:14,3.828559,-2.8164
15:55:15,3.826419,-2.817719
15:55:16,3.824489,-2.816373
15:55:17,3.822971,-2.817306
15:55:18,3.821202,-2.818197
15:55:19,3.819633,-2.818817
15:55:20,3.818016,-2.820272
15:55:21,3.81653,-2.821426
15:55:22,3.815387,-2.817902
15:55:23,3.813988,-2.820148
15:55:24,3.812862,-2.820066
15:55:25,3.811335,-2.822731
15:55:26,3.810108,-2.823046
15:55:27,3.808887,-2.823548
15:55:28,3.807768,-2.826638
15:55:29,3.806505,-2.825145
15:55:30,3.805442,-2.825912
15:55:31,3.804662,-2.825558
15:55:32,3.803358,-2.826393
15:55:33,3.802343,-2.827648
15:55:34,3.801619,-2.827423
15:55:35,3.800669,-2.82642
15:55:36,3.799508,-2.829053
15:55:37,3.799056,-2.828244
15:55:38,3.798127,-2.82838
15:55:39,3.797341,-2.82874
15:55:40,3.796483,-2.827787
15:55:41,3.795679,-2.827604
15:55:42,3.794795,-2.83062
15:55:43,3.794301,-2.828188
15:55:44,3.793339,-2.829549
15:55:45,3.792865,-2.829389
15:55:46,3.792011,-2.827536
15:55:47,3.791287,-2.829655
15:55:48,3.790477,-2.833846
15:55:49,3.789632,-2.831963
15:55:50,3.789036,-2.833477
15:55:51,3.788304,-2.832465
15:55:52,3.78767,-2.833465
15:55:53,3.787134,-2.831299
15:55:54,3.786702,-2.831924
15:55:55,3.786187,-2.832532
15:55:56,3.785526,-2.832677
15:55:57,3.785082,-2.83263
15:55:58,3.784341,-2.833288
15:55:59,3.783939,-2.832338
15:56:00,3.783302,-2.832532
15:56:01,3.782876,-2.832388
15:56:02,3.782286,-2.832532
15:56:03,3.781834,-2.833223
15:56:04,3.781292,-2.832757
15:56:05,3.78086,-2.833831
15:56:06,3.780387,-2.834064
15:56:07,3.779913,-2.834454
15:56:08,3.779264,-2.834162
15:56:09,3.77894,-2.832609
15:56:10,3.778538,-2.833734
15:56:11,3.777865,-2.834277
15:56:12,3.777549,-2.833979
15:56:13,3.777115,-2.83448
15:56:14,3.776722,-2.834049
15:56:15,3.776004,-2.834864
15:56:16,3.775659,-2.835652
15:56:17,3.775152,-2.833465
15:56:18,3.775182,-2.833126
15:56:19,3.774566,-2.833681
15:56:20,3.774,-2.83381
15:56:21,3.773673,-2.835071
15:56:22,3.773199,-2.834516
15:56:23,3.772845,-2.835357
15:56:24,3.772532,-2.835735
15:56:25,3.771913,-2.837382
15:56:26,3.771716,-2.836033
15:56:27,3.771407,-2.836933
15:56:28,3.770948,-2.837414
15:56:29,3.770371,-2.837972
15:56:30,3.770216,-2.837119
15:56:31,3.769593,-2.838893
15:56:32,3.769272,-2.838359
15:56:33,3.768897,-2.839188
15:56:34,3.768635,-2.839902
15:56:35,3.768429,-2.838834
15:56:36,3.767986,-2.840433
15:56:37,3.767718,-2.838607
15:56:38,3.767289,-2.838633
15:56:39,3.76703,-2.839096
15:56:40,3.766917,-2.839716
15:56:41,3.766521,-2.838736
15:56:42,3.76619,-2.838984
15:56:43,3.765848,-2.839752
15:56:44,3.765315,-2.839719
15:56:45,3.765059,-2.842216
15:56:46,3.764847,-2.841136
15:56:47,3.764666,-2.839498
15:56:48,3.764285,-2.84085
15:56:49,3.76404,-2.840395
15:56:50,3.763704,-2.840094
15:56:51,3.763353,-2.839604
15:56:52,3.763257,-2.839595
15:56:53,3.762885,-2.839861
15:56:54,3.76273,-2.837777
15:56:55,3.762248,-2.841213
15:56:56,3.761852,-2.841965
15:56:57,3.76179,-2.839583
15:56:58,3.761462,-2.839631
15:56:59,3.761304,-2.840062
15:57:00,3.760804,-2.841065
15:57:01,3.76078,-2.840038
15:57:02,3.760494,-2.839144
15:57:03,3.760235,-2.841024
15:57:04,3.759887,-2.843178
15:57:05,3.759479,-2.842871
15:57:06,3.759527,-2.840749
15:57:07,3.759226,-2.841959
15:57:08,3.758898,-2.839834
15:57:09,3.75877,-2.842582
15:57:10,3.75827,-2.841375
15:57:11,3.758181,-2.84288
15:57:12,3.75771,-2.843293
15:57:13,3.757639,-2.843282
15:57:14,3.757264,-2.841673
15:57:15,3.75716,-2.842966
15:57:16,3.757005,-2.840552
15:57:17,3.75677,-2.843426
15:57:18,3.756505,-2.84286
15:57:19,3.756311,-2.841405
15:57:20,3.756079,-2.842615
15:57:21,3.75604,-2.841207
15:57:22,3.755662,-2.841794
15:57:23,3.755322,-2.842387
15:57:24,3.754986,-2.842721
15:57:25,3.754626,-2.844341
15:57:26,3.75437,-2.844796
15:57:27,3.754218,-2.84422
15:57:28,3.754131,-2.846266
