Iteration	CPUTime	PhysTime	Travels	CourFact
1	3	0	0.0223522461	0
2	4	0	0.0447044923	0
3	5	0	0.0670567384	0
4	6	0	0.0894089845	0
5	7	0	0.111761231	0
6	8	0	0.134113477	0
7	9	0	0.156465723	0
8	10	0	0.178817969	0
9	11	0	0.201170215	0
10	12	0	0.223522461	0
11	12	0	0.245874707	0
12	13	0	0.268226954	0
13	15	0	0.2905792	0
14	16	0	0.312931446	0
15	17	0	0.335283692	0
16	18	0	0.357635938	0
17	19	0	0.379988184	0
18	20	0	0.40234043	0
19	21	0	0.424692677	0
20	23	0	0.447044923	0
21	24	0	0.469397169	0
22	25	0	0.491749415	0
23	26	0	0.514101661	0
24	27	0	0.536453907	0
25	28	0	0.558806153	0
26	29	0	0.5811584	0
27	31	0	0.603510646	0
28	32	0	0.625862892	0
29	33	0	0.648215138	0
30	34	0	0.670567384	0
31	35	0	0.69291963	0
32	36	0	0.715271876	0
33	37	0	0.737624122	0
34	39	0	0.759976369	0
35	40	0	0.782328615	0
36	41	0	0.804680861	0
37	42	0	0.827033107	0
38	43	0	0.849385353	0
39	44	0	0.871737599	0
40	45	0	0.894089845	0
41	46	0	0.916442092	0
42	47	0	0.938794338	0
43	48	0	0.961146584	0
44	49	0	0.98349883	0
45	50	0	1.00585108	0
46	52	0	1.02820332	0
47	53	0	1.05055557	0
48	54	0	1.07290781	0
49	66	0	1.09526006	0
50	67	0	1.11761231	0
51	68	0	1.13996455	0
52	69	0	1.1623168	0
53	70	0	1.18466905	0
54	71	0	1.20702129	0
55	72	0	1.22937354	0
